"","X1.k_PlasKid","X1.k_ePlas","X1.k_KidPlas","X1.k_eKid","X1.scale","X1.Plasma0","X2.k_PlasKid","X2.k_ePlas","X2.k_KidPlas","X2.k_eKid","X2.scale","X2.Plasma0","X3.k_PlasKid","X3.k_ePlas","X3.k_KidPlas","X3.k_eKid","X3.scale","X3.Plasma0","X4.k_PlasKid","X4.k_ePlas","X4.k_KidPlas","X4.k_eKid","X4.scale","X4.Plasma0"
"119",2.07535,0.0167285,0.164795,0.0117046,4.2704,49.8077,2.10308,0.0162989,0.194348,0.0123985,4.37886,48.8633,1.80092,0.0692649,0.166535,0.00710194,4.37499,48.5591,1.98228,0.137738,0.20698,0.000828259,4.23007,49.8485
"120",2.02609,0.0190521,0.173628,0.0122821,4.32638,50.6456,1.96698,0.123188,0.195558,0.0022353,4.04935,49.8497,1.85564,0.0806735,0.174777,0.00564118,4.42114,48.4885,1.87342,0.144729,0.194635,4.33802e-05,4.01612,49.5993
"121",2.05166,0.0133442,0.158978,0.0115009,4.61112,50.6978,2.04697,0.0128468,0.180537,0.011907,4.20702,49.2817,2.32088,0.0250509,0.21682,0.0121503,4.20259,51.1963,1.90289,0.150493,0.163481,0.000240651,4.06398,48.9283
"122",2.00698,0.0147023,0.165971,0.0110707,4.35429,50.1192,2.2486,0.059933,0.207767,0.00841192,4.42603,50.8059,2.00319,0.111261,0.196413,0.00292199,4.28291,48.7907,2.20685,0.0807763,0.197316,0.00617344,4.05761,49.2104
"123",2.13012,0.0691168,0.203848,0.00711628,4.76578,48.8612,1.83443,0.128439,0.179399,0.00150364,4.18177,48.8357,2.11249,0.105644,0.198414,0.00369464,4.39225,49.6411,2.25179,0.0832249,0.196007,0.00590772,3.96605,49.5439
"124",2.14457,0.0664071,0.201783,0.00798545,4.77866,48.8009,1.78973,0.133187,0.149997,0.00181024,3.88861,49.608,2.29755,0.0367937,0.22442,0.010608,4.24711,50.9729,2.03078,0.044236,0.196834,0.00972979,4.20825,49.831
"125",2.01661,0.121109,0.177459,0.00314712,3.82364,50.3138,1.91514,0.0807701,0.173542,0.00621261,3.9555,49.8034,2.30479,0.0428596,0.210433,0.00970576,4.2634,50.8315,2.10915,0.0645536,0.193462,0.0075201,4.18671,49.7888
"126",2.0956,0.0736845,0.184406,0.00705509,4.57674,48.3308,2.17952,0.0875714,0.226594,0.0059545,4.56461,50.6611,2.0698,0.0504674,0.195773,0.00970959,4.40016,50.7511,2.07008,0.0326605,0.177007,0.0108882,4.31771,50.7037
"127",2.21607,0.0256812,0.202386,0.0112702,4.71991,50.5458,2.22815,0.0228916,0.203891,0.0119487,4.49015,49.7943,2.07231,0.0508382,0.195204,0.00936479,4.39325,50.7467,1.92115,0.131675,0.188899,0.00159737,4.33009,49.7534
"128",2.21222,0.0193215,0.195746,0.0124308,4.73067,50.8689,2.2273,0.034435,0.194356,0.0108719,4.20279,50.2389,2.25497,0.101738,0.199997,0.00443134,4.21227,50.853,1.96664,0.0984765,0.176918,0.00423202,4.17489,49.5496
"129",2.16423,0.0488041,0.218772,0.00943066,4.25141,48.2979,2.36358,0.128095,0.228869,0.00188758,4.31144,51.1605,2.18467,0.094507,0.192485,0.00494615,3.82077,49.3933,1.89622,0.126747,0.196638,0.00110687,4.5314,48.0534
"130",2.01529,0.14504,0.200376,0.000393165,3.98446,50.4277,2.35627,0.0771556,0.212848,0.00695189,4.50682,51.0051,2.05055,0.108149,0.215412,0.00355352,4.1214,50.2799,1.90464,0.109727,0.169163,0.00375969,4.01778,51.5982
"131",2.10916,0.142432,0.207218,0.000252374,4.26909,49.9248,2.34013,0.0589841,0.22792,0.0085278,4.03728,49.5327,1.97342,0.12066,0.177138,0.00238481,4.25259,48.9077,1.99355,0.13602,0.193416,0.00129044,4.07206,50.0421
"132",2.19677,0.09268,0.208613,0.0051303,4.38373,49.8916,2.185,0.0103968,0.18648,0.0121397,4.37406,48.772,1.92028,0.121144,0.177344,0.00291301,4.38637,49.8133,1.87432,0.139998,0.182257,0.000944885,4.19744,50.5696
"133",2.25062,0.109876,0.214571,0.00346984,4.22579,49.997,2.08291,0.101916,0.184492,0.00445774,4.10198,50.614,2.23008,0.0825612,0.211086,0.0057723,3.88437,50.5664,2.03784,0.0696654,0.203248,0.00730743,4.34958,49.0372
"134",1.88051,0.0433495,0.159552,0.0089893,4.7562,48.8404,2.1704,0.0794858,0.207864,0.00647425,4.15104,50.9448,2.08638,0.0322691,0.180233,0.0101687,4.20917,50.4967,2.0792,0.0746508,0.191159,0.00632508,4.31804,48.9314
"135",1.91131,0.0567184,0.158651,0.00804993,4.19399,49.6664,2.19189,0.126055,0.215187,0.00195006,4.4386,51.2787,2.19115,0.0249505,0.18848,0.010772,4.32697,50.7828,2.03061,0.0742519,0.184438,0.00711544,4.11356,49.9651
"136",1.90335,0.0624172,0.155224,0.0080374,4.08798,49.3278,2.15311,0.129682,0.21135,0.00145645,4.46528,50.3616,2.21173,0.0353295,0.205104,0.0109298,4.20279,50.5162,1.82617,0.067641,0.151689,0.0069253,4.13267,49.2302
"137",2.22286,0.0573846,0.20286,0.00843566,3.76991,49.9391,2.00392,0.127519,0.202088,0.00163996,3.99385,48.7011,1.92706,0.121698,0.178375,0.00248164,4.28522,49.9259,1.85849,0.100134,0.162354,0.00428868,4.72877,50.7243
"138",1.91624,0.111026,0.168918,0.00378824,4.22779,50.0537,2.11982,0.0786417,0.202023,0.00656395,4.11879,50.0742,1.77983,0.147967,0.164799,0.000137803,4.3567,49.0467,2.27231,0.0224507,0.187906,0.0114963,4.03268,49.8071
"139",1.95501,0.0578739,0.172352,0.00844907,4.08333,49.3726,2.10097,0.0793295,0.199773,0.00648505,4.10647,49.2358,1.83351,0.147191,0.166657,0.000157886,4.34535,49.1513,2.32774,0.0207984,0.196472,0.0124089,4.10904,50.1967
"140",1.79625,0.104654,0.1626,0.00461886,3.82961,48.5908,2.33832,0.101572,0.212671,0.00478877,3.70564,51.1172,2.38176,0.016002,0.205514,0.0123024,4.36657,49.7069,2.32719,0.0205305,0.196922,0.0119611,4.10966,50.196
"141",2.08887,0.0372641,0.182007,0.00970963,4.15231,50.7817,2.22772,0.0588105,0.204665,0.00790562,3.843,50.8671,1.90392,0.10476,0.172168,0.00455638,4.04191,49.9099,1.94372,0.156471,0.177698,6.17956e-06,4.06266,49.695
"142",1.95033,0.0835991,0.168035,0.00563558,4.56622,48.8383,2.16598,0.0966921,0.206646,0.00439895,3.54868,50.732,1.95936,0.0738466,0.173872,0.00654166,4.27325,50.1603,2.21781,0.148431,0.208618,1.0912e-05,4.43197,49.7498
"143",2.15763,0.0279168,0.1808,0.0105609,4.22042,49.9072,2.05496,0.108579,0.197765,0.00330297,3.97148,49.9649,1.95775,0.0968756,0.163517,0.004694,3.90296,50.6327,1.98753,0.152575,0.179246,1.83632e-05,4.07346,50.038
"144",2.12522,0.111405,0.194591,0.00320434,4.04237,50.4378,2.19575,0.0828309,0.211561,0.00631866,4.10209,49.7357,1.9837,0.106238,0.176133,0.00385474,4.519,47.953,1.95087,0.113507,0.189053,0.00316127,4.30352,49.0701
"145",2.0723,0.109075,0.193426,0.00369602,3.98131,50.1657,1.95318,0.0920428,0.17056,0.0048706,4.41687,50.0434,2.07186,0.0226828,0.161518,0.0103644,4.23786,48.7919,1.97438,0.140744,0.192744,0.000502712,4.43265,49.8813
"146",2.21577,0.0785292,0.202039,0.00664116,4.40252,50.4756,2.07803,0.137277,0.199254,0.00168216,4.29047,50.8386,2.03599,0.0105742,0.169251,0.0130905,3.96097,50.2123,2.0964,0.136313,0.215162,0.00120464,4.42051,49.8159
