lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,y0.1,y0.2,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.0354414
# Diagonal elements of inverse mass matrix:
# 0.00462503, 0.722189, 0.0116221, 0.797175, 0.000378294, 0.00336658
-555.845,0.984839,0.0354414,7,127,0,559.534,2.09113,0.0185581,0.167879,0.0117434,51.112,4.01385,41.468,30.5544,18.915,12.3228,8.58712,4.184,3.60191,2.81522,1.5638,0.868655,0.359625,0.199764,0.110964,0.0459402,0.0105645,0.00100607,9.55257,20.34,31.789,38.2065,41.7766,45.5537,44.9307,35.1727,19.5377,10.8528,4.49306,2.4958,1.38637,0.573957,0.131993,0.0125664,8.58712,2.81522,1.5638,0.868655,0.359625,0.199764,0.110964,0.0459402,0.0105645,0.00100607,41.7766,35.1727,19.5377,10.8528,4.49306,2.4958,1.38637,0.573957,0.131993,0.0125664,51.112,0,2.09113,0.0185581,0.167879,0.0117434
-556.349,0.994106,0.0354414,5,63,0,557.545,2.15814,0.0235054,0.166086,0.0111,50.9772,4.08436,41.064,29.9413,18.2373,11.7234,8.09589,3.95507,3.44208,2.70548,1.52217,0.856414,0.36142,0.203345,0.114407,0.0482812,0.0114637,0.00114895,9.79986,20.7726,32.2632,38.5918,42.0497,45.5717,44.9097,35.343,19.8849,11.1878,4.72142,2.65639,1.49456,0.630728,0.149758,0.0150059,8.09589,2.70548,1.52217,0.856414,0.36142,0.203345,0.114407,0.0482812,0.0114637,0.00114895,42.0497,35.343,19.8849,11.1878,4.72142,2.65639,1.49456,0.630728,0.149758,0.0150059,50.9772,0,2.15814,0.0235054,0.166086,0.0111
-556.696,0.99922,0.0354414,5,31,0,557.15,2.18686,0.0228107,0.16735,0.0111312,50.9675,4.08584,40.943,29.7358,18.0092,11.5304,7.94874,3.91395,3.42574,2.69429,1.51766,0.854878,0.36141,0.203577,0.114673,0.0484791,0.0115447,0.00116237,9.91443,20.9755,32.4932,38.7896,42.2035,45.6227,44.9383,35.3825,19.9305,11.2266,4.74617,2.67346,1.50593,0.636647,0.151608,0.015263,7.94874,2.69429,1.51766,0.854878,0.36141,0.203577,0.114673,0.0484791,0.0115447,0.00116237,42.2035,35.3825,19.9305,11.2266,4.74617,2.67346,1.50593,0.636647,0.151608,0.015263,50.9675,0,2.18686,0.0228107,0.16735,0.0111312
-555.211,0.996072,0.0354414,6,127,0,559.059,2.10879,0.0882345,0.17878,0.00570302,50.5809,3.92647,40.6862,29.615,18.0159,11.5967,8.04195,4.02431,3.53255,2.77904,1.56635,0.882846,0.373573,0.210558,0.118677,0.0502182,0.0119771,0.00120907,9.49099,20.0883,31.1373,37.1878,40.4741,43.7788,43.1282,33.966,19.1443,10.7903,4.56589,2.57347,1.45049,0.61377,0.146383,0.0147727,8.04195,2.77904,1.56635,0.882846,0.373573,0.210558,0.118677,0.0502182,0.0119771,0.00120907,40.4741,33.966,19.1443,10.7903,4.56589,2.57347,1.45049,0.61377,0.146383,0.0147727,50.5809,0,2.10879,0.0882345,0.17878,0.00570302
-556.909,0.842907,0.0354414,6,107,0,559.569,2.12431,0.0240475,0.187037,0.012216,50.7933,3.86138,41.0606,30.1234,18.5863,12.144,8.54421,4.40436,3.86701,2.96844,1.57764,0.838466,0.324866,0.172656,0.0917618,0.0355534,0.00732086,0.000584275,9.61661,20.3985,31.7113,37.9557,41.3727,44.839,44.0942,33.8874,18.0101,9.57182,3.70862,1.97102,1.04754,0.405869,0.0835764,0.00666784,8.54421,2.96844,1.57764,0.838466,0.324866,0.172656,0.0917618,0.0355534,0.00732086,0.000584275,41.3727,33.8874,18.0101,9.57182,3.70862,1.97102,1.04754,0.405869,0.0835764,0.00666784,50.7933,0,2.12431,0.0240475,0.187037,0.012216
-555.897,0.998151,0.0354414,7,127,0,557.794,2.10657,0.0197497,0.18596,0.0118586,50.4527,3.82439,40.8739,30.0797,18.6436,12.2216,8.61297,4.42187,3.87291,3.01294,1.6538,0.907766,0.369159,0.20263,0.111224,0.0452305,0.0100965,0.000916711,9.48307,20.1462,31.3867,37.6308,41.0717,44.6318,43.9684,34.2484,18.7989,10.3187,4.19625,2.30332,1.26429,0.514142,0.114766,0.0104177,8.61297,3.01294,1.6538,0.907766,0.369159,0.20263,0.111224,0.0452305,0.0100965,0.000916711,41.0717,34.2484,18.7989,10.3187,4.19625,2.30332,1.26429,0.514142,0.114766,0.0104177,50.4527,0,2.10657,0.0197497,0.18596,0.0118586
-557.709,0.86342,0.0354414,7,127,0,561.412,2.36735,0.118603,0.240321,0.00259159,49.5502,4.70497,38.7627,27.193,15.8485,10.0888,7.1613,4.30808,4.00623,3.0966,1.66981,0.900433,0.356553,0.192268,0.103679,0.0410553,0.00876637,0.000741488,10.2653,21.249,31.9566,37.3187,39.9702,42.1028,41.2173,31.8663,17.1836,9.26611,3.6692,1.97858,1.06693,0.422485,0.090213,0.00762758,7.1613,3.0966,1.66981,0.900433,0.356553,0.192268,0.103679,0.0410553,0.00876637,0.000741488,39.9702,31.8663,17.1836,9.26611,3.6692,1.97858,1.06693,0.422485,0.090213,0.00762758,49.5502,0,2.36735,0.118603,0.240321,0.00259159
-557.867,0.946256,0.0354414,6,63,0,559.217,2.28901,0.109711,0.240171,0.00292538,49.0144,4.71212,38.6751,27.4677,16.2945,10.4973,7.48639,4.44069,4.10381,3.18292,1.73087,0.94125,0.377455,0.205259,0.11162,0.0447609,0.00976152,0.000853812,9.85923,20.5216,31.092,36.5054,39.2464,41.5827,40.757,31.6214,17.1957,9.35104,3.7499,2.0392,1.10892,0.444691,0.096974,0.00848018,7.48639,3.18292,1.73087,0.94125,0.377455,0.205259,0.11162,0.0447609,0.00976152,0.000853812,39.2464,31.6214,17.1957,9.35104,3.7499,2.0392,1.10892,0.444691,0.096974,0.00848018,49.0144,0,2.28901,0.109711,0.240171,0.00292538
-558.263,0.999073,0.0354414,6,127,0,559.963,2.29879,0.0943535,0.234053,0.00510198,48.7629,4.79857,38.4957,27.353,16.2229,10.4338,7.41951,4.35691,4.01526,3.08925,1.64783,0.878969,0.342423,0.182651,0.0974275,0.0379554,0.00788669,0.000638578,9.85505,20.5251,31.1217,36.5603,39.3192,41.6726,40.8167,31.4142,16.7566,8.93814,3.48207,1.85737,0.990738,0.385966,0.0802052,0.00649287,7.41951,3.08925,1.64783,0.878969,0.342423,0.182651,0.0974275,0.0379554,0.00788669,0.000638578,39.3192,31.4142,16.7566,8.93814,3.48207,1.85737,0.990738,0.385966,0.0802052,0.00649287,48.7629,0,2.29879,0.0943535,0.234053,0.00510198
-554.541,0.997691,0.0354414,6,63,0,560.117,2.24344,0.0692192,0.193857,0.00736291,50.4438,4.40052,40.1221,28.7585,17.1509,10.935,7.60397,4.05147,3.65067,2.86031,1.59481,0.889212,0.370212,0.206417,0.115091,0.0479173,0.0111232,0.00107514,10.0059,20.998,32.1688,38.082,41.1824,44.0589,43.2953,33.9431,18.9255,10.5522,4.39328,2.44954,1.36578,0.568625,0.131998,0.012757,7.60397,2.86031,1.59481,0.889212,0.370212,0.206417,0.115091,0.0479173,0.0111232,0.00107514,41.1824,33.9431,18.9255,10.5522,4.39328,2.44954,1.36578,0.568625,0.131998,0.012757,50.4438,0,2.24344,0.0692192,0.193857,0.00736291
