lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,y0.1,y0.2,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.0312949
# Diagonal elements of inverse mass matrix:
# 0.00507172, 0.578917, 0.0126237, 0.938135, 0.000387686, 0.00354448
-555.528,0.901261,0.0312949,6,63,0,558.134,2.13538,0.0799129,0.200137,0.00575431,48.5995,4.06757,39.0315,28.3777,17.3002,11.2295,7.90028,4.20024,3.75177,2.95312,1.66571,0.939542,0.398008,0.224496,0.126627,0.053642,0.0128176,0.00129755,9.2166,19.4576,30.0535,35.7975,38.8849,41.9189,41.2693,32.5116,18.3382,10.3436,4.38177,2.47153,1.39407,0.590554,0.141108,0.0142829,7.90028,2.95312,1.66571,0.939542,0.398008,0.224496,0.126627,0.053642,0.0128176,0.00129755,38.8849,32.5116,18.3382,10.3436,4.38177,2.47153,1.39407,0.590554,0.141108,0.0142829,48.5995,0,2.13538,0.0799129,0.200137,0.00575431
-555.596,0.936172,0.0312949,7,127,0,558.658,2.25892,0.0255101,0.207839,0.0109665,49.9102,4.39938,39.8172,28.6906,17.3013,11.1856,7.89894,4.37383,3.9644,3.10528,1.73015,0.963981,0.400907,0.223371,0.124454,0.0517592,0.011994,0.0011559,9.97341,20.9442,32.1163,38.0461,41.164,44.0748,43.3159,33.9492,18.9153,10.5389,4.38301,2.44206,1.36063,0.565867,0.131121,0.0126359,7.89894,3.10528,1.73015,0.963981,0.400907,0.223371,0.124454,0.0517592,0.011994,0.0011559,41.164,33.9492,18.9153,10.5389,4.38301,2.44206,1.36063,0.565867,0.131121,0.0126359,49.9102,0,2.25892,0.0255101,0.207839,0.0109665
-557.398,0.719431,0.0312949,4,31,0,560.177,2.17519,0.0389776,0.199902,0.00927116,49.8325,4.32964,40.0278,29.1136,17.7704,11.5578,8.15269,4.37217,3.91443,3.09272,1.76013,1.00172,0.430079,0.244766,0.1393,0.0598076,0.0146133,0.00153326,9.62563,20.3184,31.3775,37.3699,40.5898,43.7557,43.0919,34.0742,19.3922,11.0365,4.73842,2.69672,1.53475,0.658932,0.161008,0.0168908,8.15269,3.09272,1.76013,1.00172,0.430079,0.244766,0.1393,0.0598076,0.0146133,0.00153326,40.5898,34.0742,19.3922,11.0365,4.73842,2.69672,1.53475,0.658932,0.161008,0.0168908,49.8325,0,2.17519,0.0389776,0.199902,0.00927116
-558.21,0.995432,0.0312949,6,83,0,562.072,2.09293,0.124747,0.182753,0.0035911,51.0286,4.03496,40.9629,29.73,18.0099,11.5582,8.00427,4.0239,3.5388,2.73342,1.4741,0.794958,0.314828,0.169781,0.0915606,0.0362612,0.00774509,0.000655086,9.49269,20.0623,31.0327,37.0024,40.222,43.3891,42.6504,32.9772,17.7841,9.59071,3.79821,2.04832,1.10463,0.437467,0.0934307,0.00790251,8.00427,2.73342,1.4741,0.794958,0.314828,0.169781,0.0915606,0.0362612,0.00774509,0.000655086,40.222,32.9772,17.7841,9.59071,3.79821,2.04832,1.10463,0.437467,0.0934307,0.00790251,51.0286,0,2.09293,0.124747,0.182753,0.0035911
-555.228,0.973859,0.0312949,6,87,0,560.195,2.05343,0.0446159,0.191467,0.00936839,50.4923,4.29937,41.0221,30.3173,18.9209,12.481,8.83943,4.56136,3.98866,3.11297,1.72226,0.952848,0.392112,0.216937,0.120022,0.0493901,0.0112445,0.00105431,9.26236,19.7097,30.7772,36.9653,40.3989,44.0089,43.3912,33.9106,18.7612,10.3797,4.27143,2.36319,1.30744,0.538035,0.122497,0.0114761,8.83943,3.11297,1.72226,0.952848,0.392112,0.216937,0.120022,0.0493901,0.0112445,0.00105431,40.3989,33.9106,18.7612,10.3797,4.27143,2.36319,1.30744,0.538035,0.122497,0.0114761,50.4923,0,2.05343,0.0446159,0.191467,0.00936839
-554.165,0.994489,0.0312949,6,79,0,556.191,2.18652,0.0212514,0.197541,0.0116259,49.4253,4.23459,39.7256,28.9186,17.6714,11.5001,8.11142,4.33537,3.87115,3.0173,1.66226,0.915756,0.374456,0.206292,0.113649,0.0464708,0.0104684,0.000964423,9.59963,20.2716,31.3214,37.3162,40.5401,43.7008,42.985,33.5324,18.4733,10.1771,4.16147,2.2926,1.26301,0.516452,0.116341,0.0107164,8.11142,3.0173,1.66226,0.915756,0.374456,0.206292,0.113649,0.0464708,0.0104684,0.000964423,40.5401,33.5324,18.4733,10.1771,4.16147,2.2926,1.26301,0.516452,0.116341,0.0107164,49.4253,0,2.18652,0.0212514,0.197541,0.0116259
-555.355,0.999811,0.0312949,6,127,0,557.011,2.01287,0.0652242,0.190764,0.00771984,49.9081,3.83239,40.6264,30.1056,18.8564,12.4636,8.82829,4.51317,3.92405,3.04691,1.66563,0.91054,0.368027,0.201187,0.109981,0.0444535,0.00982304,0.000877235,8.98398,19.1451,29.9554,36.0334,39.4247,43.0294,42.425,32.9907,18.0348,9.85895,3.98484,2.17836,1.19083,0.481314,0.106347,0.0094974,8.82829,3.04691,1.66563,0.91054,0.368027,0.201187,0.109981,0.0444535,0.00982304,0.000877235,39.4247,32.9907,18.0348,9.85895,3.98484,2.17836,1.19083,0.481314,0.106347,0.0094974,49.9081,0,2.01287,0.0652242,0.190764,0.00771984
-555.954,0.95919,0.0312949,6,127,0,561.341,2.01881,0.0650595,0.199048,0.00758189,49.9546,3.94188,40.6447,30.1097,18.8751,12.5125,8.9066,4.65164,4.07279,3.1603,1.72434,0.940848,0.379196,0.2069,0.11289,0.0454982,0.0100065,0.000887581,9.01285,19.1891,29.9864,36.0355,39.3982,42.9424,42.3232,32.8853,17.9431,9.79025,3.94583,2.15295,1.17471,0.47345,0.104114,0.00922703,8.9066,3.1603,1.72434,0.940848,0.379196,0.2069,0.11289,0.0454982,0.0100065,0.000887581,39.3982,32.8853,17.9431,9.79025,3.94583,2.15295,1.17471,0.47345,0.104114,0.00922703,49.9546,0,2.01881,0.0650595,0.199048,0.00758189
-554.211,0.999467,0.0312949,7,127,0,557.907,2.05626,0.113237,0.198622,0.00314404,49.3384,4.52427,39.8027,29.1189,17.902,11.6769,8.21972,4.28886,3.79184,2.9546,1.62725,0.896202,0.366299,0.201739,0.111108,0.0454113,0.0102231,0.000940719,9.03166,19.1286,29.6759,35.4651,38.6161,41.7896,41.1373,32.0875,17.6721,9.7329,3.97807,2.19091,1.20664,0.493184,0.111017,0.010214,8.21972,2.9546,1.62725,0.896202,0.366299,0.201739,0.111108,0.0454113,0.0102231,0.000940719,38.6161,32.0875,17.6721,9.7329,3.97807,2.19091,1.20664,0.493184,0.111017,0.010214,49.3384,0,2.05626,0.113237,0.198622,0.00314404
-554.577,0.988622,0.0312949,7,127,0,555.968,1.8998,0.120551,0.179279,0.00244424,49.8183,4.44929,40.7787,30.4389,19.2248,12.7338,8.97442,4.36213,3.70318,2.90016,1.62065,0.905643,0.37832,0.211409,0.118138,0.0493513,0.01152,0.0011235,8.49451,18.1905,28.6569,34.6557,38.0708,41.873,41.3944,32.4868,18.1541,10.1448,4.23782,2.36815,1.32336,0.552812,0.129047,0.0125838,8.97442,2.90016,1.62065,0.905643,0.37832,0.211409,0.118138,0.0493513,0.01152,0.0011235,38.0708,32.4868,18.1541,10.1448,4.23782,2.36815,1.32336,0.552812,0.129047,0.0125838,49.8183,0,1.8998,0.120551,0.179279,0.00244424
