lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,k_AccuKid,k_KidAccu,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat1.1.3,z_hat1.2.3,z_hat1.3.3,z_hat1.4.3,z_hat1.5.3,z_hat1.6.3,z_hat1.7.3,z_hat1.8.3,z_hat1.9.3,z_hat1.10.3,z_hat1.11.3,z_hat1.12.3,z_hat1.13.3,z_hat1.14.3,z_hat1.15.3,z_hat1.16.3,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,z_hat2.1.3,z_hat2.2.3,z_hat2.3.3,z_hat2.4.3,z_hat2.5.3,z_hat2.6.3,z_hat2.7.3,z_hat2.8.3,z_hat2.9.3,z_hat2.10.3,y0.1,y0.2,y0.3,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0384747
# Diagonal elements of inverse mass matrix:
# 0.00416597, 0.659224, 0.00995199, 0.910921, 0.000363075, 0.0326174, 0.00813611, 0.00646036
-52.2552,0.759545,0.0384747,6,127,0,57.0247,2.18744,0.09032,0.221199,0.00163209,51.1656,0.000508072,0.00542819,3.58459,40.8491,29.4762,17.8348,11.5832,8.2225,4.61029,4.16977,3.12244,1.57188,0.803989,0.312776,0.179761,0.113531,0.0705693,0.0502127,0.043749,9.89934,20.7839,31.8573,37.7221,40.7935,43.5845,42.6402,31.9495,16.0855,8.22905,3.20334,1.8424,1.16475,0.725122,0.516728,0.450416,0.00279891,0.0155677,0.0520681,0.0996916,0.153176,0.385563,0.853965,4.84468,10.6646,13.4155,14.9555,15.2236,15.2335,15.0342,14.52,13.6424,8.2225,3.12244,1.57188,0.803989,0.312776,0.179761,0.113531,0.0705693,0.0502127,0.043749,40.7935,31.9495,16.0855,8.22905,3.20334,1.8424,1.16475,0.725122,0.516728,0.450416,0.153176,4.84468,10.6646,13.4155,14.9555,15.2236,15.2335,15.0342,14.52,13.6424,51.1656,0,0,2.18744,0.09032,0.221199,0.00163209,0.000508072,0.00542819
-51.1647,0.9826,0.0384747,6,63,0,53.298,2.25294,0.0882182,0.223005,0.00233853,50.808,0.000509658,0.00537201,3.5612,40.3114,28.8326,17.2293,11.0992,7.85713,4.46988,4.07033,3.03132,1.50569,0.760071,0.290471,0.1655,0.104076,0.0648173,0.0465568,0.0407455,10.0926,21.1003,32.1567,37.9134,40.874,43.4444,42.443,31.6239,15.7096,7.93172,3.03309,1.72944,1.08867,0.679067,0.488478,0.427678,0.00282699,0.0156793,0.0522346,0.0996979,0.15281,0.382487,0.844112,4.7646,10.43,13.0678,14.5104,14.746,14.7387,14.5296,14.0168,13.1529,7.85713,3.03132,1.50569,0.760071,0.290471,0.1655,0.104076,0.0648173,0.0465568,0.0407455,40.874,31.6239,15.7096,7.93172,3.03309,1.72944,1.08867,0.679067,0.488478,0.427678,0.15281,4.7646,10.43,13.0678,14.5104,14.746,14.7387,14.5296,14.0168,13.1529,50.808,0,0,2.25294,0.0882182,0.223005,0.00233853,0.000509658,0.00537201
-53.9734,0.877342,0.0384747,7,127,0,57.934,2.29225,0.0650371,0.210749,0.00471672,52.9802,0.000455981,0.00499048,3.58153,41.9628,29.9241,17.7702,11.36,7.9757,4.45352,4.04908,3.04414,1.545,0.794479,0.308296,0.174839,0.107754,0.0638405,0.0429917,0.0368619,10.7047,22.3719,34.0785,40.1666,43.2949,46.0167,44.9953,33.8442,17.1784,8.835,3.43013,1.94646,1.20064,0.712402,0.48053,0.412237,0.00278576,0.0154469,0.0514434,0.0981638,0.150432,0.376431,0.830913,4.7126,10.4222,13.1617,14.7371,15.0344,15.0714,14.9079,14.4438,13.6338,7.9757,3.04414,1.545,0.794479,0.308296,0.174839,0.107754,0.0638405,0.0429917,0.0368619,43.2949,33.8442,17.1784,8.835,3.43013,1.94646,1.20064,0.712402,0.48053,0.412237,0.150432,4.7126,10.4222,13.1617,14.7371,15.0344,15.0714,14.9079,14.4438,13.6338,52.9802,0,0,2.29225,0.0650371,0.210749,0.00471672,0.000455981,0.00499048
-53.2607,0.936349,0.0384747,5,31,0,55.2924,2.30566,0.0695858,0.211113,0.00378983,52.3671,0.000463213,0.00499492,3.49503,41.4037,29.4503,17.424,11.1096,7.79099,4.36553,3.98023,3.0225,1.57123,0.827343,0.33185,0.191545,0.119345,0.0707823,0.0468411,0.0396472,10.6339,22.1994,33.7664,39.757,42.8232,45.4779,44.5031,33.81,17.5774,9.25691,3.7147,2.14533,1.33774,0.794494,0.526605,0.44599,0.00277055,0.0153512,0.0510727,0.0973797,0.149141,0.37274,0.822439,4.68306,10.4524,13.2913,14.9831,15.3272,15.3923,15.2485,14.789,13.9662,7.79099,3.0225,1.57123,0.827343,0.33185,0.191545,0.119345,0.0707823,0.0468411,0.0396472,42.8232,33.81,17.5774,9.25691,3.7147,2.14533,1.33774,0.794494,0.526605,0.44599,0.149141,4.68306,10.4524,13.2913,14.9831,15.3272,15.3923,15.2485,14.789,13.9662,52.3671,0,0,2.30566,0.0695858,0.211113,0.00378983,0.000463213,0.00499492
-56.291,0.966653,0.0384747,7,127,0,60.6115,2.10456,0.0627779,0.213209,0.00425735,47.6686,0.000322255,0.00414173,4.53524,38.4721,28.1893,17.4274,11.4789,8.18815,4.46865,3.98894,3.05608,1.62063,0.865632,0.347336,0.195691,0.115804,0.0607485,0.0331051,0.0257373,8.92335,18.8773,29.2379,34.8963,37.9584,40.9854,40.2643,30.8759,16.3742,8.74684,3.51071,1.9787,1.17162,0.615381,0.336067,0.261568,0.00192144,0.0107416,0.0361848,0.0696793,0.107553,0.273664,0.610772,3.52624,7.97691,10.2504,11.6969,12.0424,12.1597,12.131,11.8853,11.3929,8.18815,3.05608,1.62063,0.865632,0.347336,0.195691,0.115804,0.0607485,0.0331051,0.0257373,37.9584,30.8759,16.3742,8.74684,3.51071,1.9787,1.17162,0.615381,0.336067,0.261568,0.107553,3.52624,7.97691,10.2504,11.6969,12.0424,12.1597,12.131,11.8853,11.3929,47.6686,0,0,2.10456,0.0627779,0.213209,0.00425735,0.000322255,0.00414173
-57.7776,0.995563,0.0384747,7,127,0,63.0387,2.15474,0.0507445,0.23646,0.00595761,47.0427,0.000351663,0.00410471,4.46399,37.8347,27.617,17.0496,11.2978,8.16382,4.71179,4.26853,3.22388,1.65155,0.852981,0.326968,0.179964,0.105147,0.0556063,0.032075,0.0260102,8.98887,18.9383,29.1673,34.662,37.5832,40.3423,39.5345,29.8786,15.3072,7.90664,3.03184,1.66947,0.9761,0.516955,0.298828,0.242549,0.00192018,0.0107052,0.0359231,0.0689607,0.10618,0.268581,0.596911,3.413,7.60641,9.66375,10.8969,11.1585,11.2224,11.1484,10.8704,10.3599,8.16382,3.22388,1.65155,0.852981,0.326968,0.179964,0.105147,0.0556063,0.032075,0.0260102,37.5832,29.8786,15.3072,7.90664,3.03184,1.66947,0.9761,0.516955,0.298828,0.242549,0.10618,3.413,7.60641,9.66375,10.8969,11.1585,11.2224,11.1484,10.8704,10.3599,47.0427,0,0,2.15474,0.0507445,0.23646,0.00595761,0.000351663,0.00410471
-59.659,0.999295,0.0384747,7,127,0,62.3577,2.13754,0.0443721,0.17664,0.00610767,52.5324,0.000467176,0.00594594,3.03684,42.3199,30.8739,18.8501,12.1723,8.46088,4.23338,3.69204,2.76238,1.3898,0.710699,0.276822,0.159518,0.1012,0.0634701,0.0457359,0.0402979,9.99669,21.1725,32.8439,39.2436,42.7186,46.1535,45.2505,33.8963,17.0557,8.72358,3.40014,1.96086,1.24529,0.782295,0.564592,0.497689,0.00308933,0.0172841,0.0582863,0.112332,0.173497,0.441974,0.986257,5.62755,12.4075,15.6291,17.4647,17.8096,17.8551,17.6744,17.158,16.2564,8.46088,2.76238,1.3898,0.710699,0.276822,0.159518,0.1012,0.0634701,0.0457359,0.0402979,42.7186,33.8963,17.0557,8.72358,3.40014,1.96086,1.24529,0.782295,0.564592,0.497689,0.173497,5.62755,12.4075,15.6291,17.4647,17.8096,17.8551,17.6744,17.158,16.2564,52.5324,0,0,2.13754,0.0443721,0.17664,0.00610767,0.000467176,0.00594594
-59.4981,0.932817,0.0384747,7,127,0,66.2858,2.14042,0.00254607,0.23082,0.0111548,48.2364,0.000310681,0.00483831,3.81959,39.0346,28.7447,17.9729,12.0166,8.7197,4.98278,4.4766,3.33672,1.65703,0.830254,0.305431,0.164713,0.0953134,0.051029,0.0311222,0.0263161,9.18309,19.4251,30.0813,35.8951,39.0351,42.0969,41.2435,30.7669,15.2799,7.65692,2.81795,1.52049,0.880584,0.472259,0.288667,0.24428,0.00230997,0.0129131,0.0434954,0.0837476,0.129253,0.328689,0.732639,4.17617,9.20808,11.6103,13.0098,13.2994,13.3705,13.2954,13.0112,12.4914,8.7197,3.33672,1.65703,0.830254,0.305431,0.164713,0.0953134,0.051029,0.0311222,0.0263161,39.0351,30.7669,15.2799,7.65692,2.81795,1.52049,0.880584,0.472259,0.288667,0.24428,0.129253,4.17617,9.20808,11.6103,13.0098,13.2994,13.3705,13.2954,13.0112,12.4914,48.2364,0,0,2.14042,0.00254607,0.23082,0.0111548,0.000310681,0.00483831
-54.0955,0.999884,0.0384747,6,63,0,62.7728,2.21521,0.00394847,0.203497,0.0105055,48.1199,0.000439396,0.00482877,3.90879,38.6362,28.0943,17.1622,11.1912,7.92703,4.31366,3.85828,2.89402,1.46115,0.746827,0.286419,0.160761,0.0978817,0.05696,0.0377416,0.0322504,9.4591,19.9469,30.7579,36.585,39.6931,42.6436,41.7704,31.3559,15.8324,8.09362,3.10559,1.74419,1.06294,0.61955,0.411249,0.351627,0.00237653,0.0132574,0.044524,0.0855274,0.131754,0.333626,0.741744,4.2261,9.33819,11.7819,13.1812,13.4438,13.4759,13.331,12.9215,12.2077,7.92703,2.89402,1.46115,0.746827,0.286419,0.160761,0.0978817,0.05696,0.0377416,0.0322504,39.6931,31.3559,15.8324,8.09362,3.10559,1.74419,1.06294,0.61955,0.411249,0.351627,0.131754,4.2261,9.33819,11.7819,13.1812,13.4438,13.4759,13.331,12.9215,12.2077,48.1199,0,0,2.21521,0.00394847,0.203497,0.0105055,0.000439396,0.00482877
-52.3999,0.954603,0.0384747,5,31,0,54.3895,2.17515,0.00405318,0.209654,0.0101012,48.0517,0.000433544,0.00472976,3.90061,38.7369,28.3397,17.4873,11.5097,8.21414,4.5106,4.03248,3.05436,1.57848,0.825105,0.325787,0.185212,0.113212,0.0650892,0.0416797,0.0349514,9.29016,19.6343,30.3693,36.208,39.3531,42.4173,41.6128,31.5464,16.3043,8.52385,3.36714,1.91533,1.17173,0.674688,0.43283,0.363221,0.00228497,0.0127656,0.0429629,0.0826685,0.127523,0.32396,0.721959,4.13835,9.23233,11.7312,13.2169,13.5195,13.5783,13.4566,13.0632,12.3577,8.21414,3.05436,1.57848,0.825105,0.325787,0.185212,0.113212,0.0650892,0.0416797,0.0349514,39.3531,31.5464,16.3043,8.52385,3.36714,1.91533,1.17173,0.674688,0.43283,0.363221,0.127523,4.13835,9.23233,11.7312,13.2169,13.5195,13.5783,13.4566,13.0632,12.3577,48.0517,0,0,2.17515,0.00405318,0.209654,0.0101012,0.000433544,0.00472976
