"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-52.37009113125,-52.0433,2.08351977813263,1.9444299,-56.31826,-49.615885,1.00098878315185,6013.65394717168,8441.37837489507
"2","k_PlasKid",2.188400095,2.179475,0.142854512960155,0.141617952,1.9669025,2.4364775,1.00012499227797,10587.9038311045,9621.55446153653
"3","k_ePlas",0.0612981723053537,0.063965,0.0320046838726451,0.03982960422,0.0074472385,0.107416,1.00027140293672,7354.75245566322,5660.97466287394
"4","k_KidPlas",0.213001352625,0.2119375,0.0209906942617408,0.0205866423,0.18031295,0.2496206,1.00023439001151,10537.9107889379,9552.1631460985
"5","k_eKid",0.00489608115459496,0.00464331,0.00312391477366707,0.003882447555,0.0003931276,0.01013152,1.00032479305106,7001.64664106234,5547.13799102951
"6","Plasma0",49.857363425,49.86505,0.962600623442705,0.973697550000003,48.263395,51.44832,1.00003306986885,14531.3279385977,10045.0631411594
"7","k_AccuKid",0.0004725084426875,0.0004673345,8.59447871576925e-05,8.46675795e-05,0.00034249595,0.00062191505,1.00074816910423,13535.4521109814,10434.265451952
"8","k_KidAccu",0.004703482245,0.00467754,0.000439414149293477,0.00043447593,0.004028615,0.0054611925,1.00003256714505,11062.3654124674,9774.33252962379
"9","scale",3.98565541375,3.983655,0.323701342551416,0.321687135,3.455608,4.5237225,1.00016029375895,11075.3324764066,10393.8475930956
"10","z_hat1[1,1]",39.9143960125,39.92555,0.835831191354826,0.84397005,38.548335,41.288525,1.00022829128818,13308.6369336351,10843.6087781763
"11","z_hat1[2,1]",28.91878016875,28.945,0.966129185696749,0.969249750000001,27.289885,30.44582,1.00024965539277,11705.5367028475,10364.9578378856
"12","z_hat1[3,1]",17.59902013125,17.62305,0.963237335175942,0.967618889999999,15.971145,19.13003,1.00011017920586,11311.9066958312,10396.4451077986
"13","z_hat1[4,1]",11.4668314825,11.475,0.7611461901744,0.76709724,10.20619,12.69871,1.00008994316557,11552.9551314838,10427.3858976072
"14","z_hat1[5,1]",8.136760676875,8.133485,0.538660638893744,0.543239466,7.255998,9.0258175,1.00009398691283,12307.8645445641,11179.8294469759
"15","z_hat1[6,1]",4.4779414375,4.476505,0.195925093435663,0.195332549999999,4.1590075,4.803531,1.00036079044279,19169.1640812893,13800.8246008317
"16","z_hat1[7,1]",4.015647305,4.01472,0.208695901757288,0.209009535,3.674882,4.353041,1.00012152758395,14397.1839107437,13310.2902620801
"17","z_hat1[8,1]",3.02620931125,3.0261,0.137197500657582,0.137088609,2.799497,3.2481235,1.00016857578464,14581.3116567614,13727.6713233095
"18","z_hat1[9,1]",1.546517795,1.54666,0.0635100015435087,0.062966022,1.4415995,1.6508265,1.00019959993775,16112.3722546435,14195.6467898201
"19","z_hat1[10,1]",0.800969433625,0.8017325,0.042557193412748,0.0423601059,0.7301854,0.8706074,1.00022560732202,16827.8545705884,14441.9642594826
"20","z_hat1[11,1]",0.3137141630625,0.3140255,0.0243190231115822,0.0244124916,0.27390975,0.35357515,1.00021038698549,16216.0504675547,14309.6821246806
"21","z_hat1[12,1]",0.1784308078125,0.1783485,0.0156166217552306,0.0155991759,0.1530192,0.2042594,1.00010402010554,15929.2325720479,14387.8221610644
