"","X1.k_PlasKid","X1.k_ePlas","X1.k_KidPlas","X1.k_eKid","X1.k_AccuKid","X1.k_KidAccu","X1.scale","X1.Plasma0","X2.k_PlasKid","X2.k_ePlas","X2.k_KidPlas","X2.k_eKid","X2.k_AccuKid","X2.k_KidAccu","X2.scale","X2.Plasma0","X3.k_PlasKid","X3.k_ePlas","X3.k_KidPlas","X3.k_eKid","X3.k_AccuKid","X3.k_KidAccu","X3.scale","X3.Plasma0","X4.k_PlasKid","X4.k_ePlas","X4.k_KidPlas","X4.k_eKid","X4.k_AccuKid","X4.k_KidAccu","X4.scale","X4.Plasma0"
"3190",2.18067,0.0327671,0.209149,0.00851668,0.000578644,0.00437418,4.29773,49.867,2.30926,0.0998436,0.223178,0.00207424,0.000653434,0.00441582,4.56497,50.8743,2.08306,0.0770628,0.214771,0.00294868,0.000428828,0.00429979,4.57102,48.0352,2.52986,0.0165661,0.248258,0.00997938,0.000503198,0.00475754,3.85264,51.1432
"3191",2.05634,0.0888811,0.195303,0.00179949,0.000413087,0.00469393,3.75358,49.4102,1.99874,0.0934633,0.192254,0.00199556,0.000451845,0.00450641,4.28982,49.3705,1.84348,0.0928232,0.194127,0.00163686,0.000473971,0.00471371,4.07623,47.2885,2.17059,0.00613531,0.207215,0.0108838,0.000503038,0.00432869,4.14072,49.7054
"3192",2.13361,0.0595194,0.209893,0.00553512,0.000524181,0.00458361,4.23112,50.3548,2.46594,0.0281984,0.247091,0.00879046,0.000503554,0.004857,4.04364,50.3398,1.86197,0.106103,0.185976,0.00028739,0.00065492,0.00559033,3.98259,48.0749,2.24838,0.00747229,0.207492,0.0106113,0.00075837,0.00470315,4.19733,50.6409
"3193",2.17077,0.029683,0.215709,0.00852158,0.000543264,0.00466452,4.18579,49.5391,2.09643,0.0798834,0.202211,0.00271932,0.000358215,0.00538806,3.46218,49.9157,1.94086,0.102575,0.189958,0.000184799,0.000550492,0.00537684,3.68191,48.8533,2.41591,0.0207933,0.241252,0.00972849,0.000463044,0.00404034,4.45535,49.6136
"3194",2.1911,0.0613881,0.202775,0.00488694,0.000560302,0.00507599,3.92731,48.8588,2.06453,0.0814364,0.208727,0.00152146,0.000438483,0.0056581,3.467,48.9972,2.04828,0.0902835,0.206554,0.00132665,0.000390596,0.00540024,3.60749,50.4071,2.14784,0.101126,0.206776,0.0010757,0.000467449,0.00531172,3.68638,51.0996
"3195",2.31455,0.00352169,0.198237,0.00884968,0.000344316,0.0049246,3.22855,49.4325,2.12228,0.0850117,0.208296,0.00197675,0.00046991,0.00559624,3.48986,49.3833,2.33804,0.0568356,0.260078,0.00654832,0.000533293,0.00503225,4.32827,50.0394,2.2881,0.0956503,0.221759,0.000520069,0.000295397,0.00505524,3.40126,50.9844
"3196",2.16597,0.113426,0.198421,0.000101405,0.000571062,0.00464585,4.21113,49.7296,2.04848,0.0733838,0.211518,0.00351089,0.000520221,0.00558329,3.62795,49.2164,2.33825,0.0689648,0.237616,0.00369707,0.000357185,0.0051562,3.64177,48.6447,2.31122,0.109854,0.247684,0.000205815,0.000567372,0.00534382,3.99426,48.9388
"3197",1.93606,0.113288,0.193177,0.000268053,0.000395371,0.0048171,4.09967,49.1826,2.07136,0.0787359,0.212206,0.00322823,0.000509262,0.00596049,3.67499,48.1084,2.09113,0.0862554,0.216896,0.00314753,0.000658163,0.00458313,4.6375,49.9303,2.30095,0.108377,0.249461,0.000167575,0.000585472,0.0054525,3.92624,48.9823
"3198",2.18788,0.0580623,0.226606,0.0060425,0.000496037,0.00457284,4.09296,49.9556,2.02941,0.0561765,0.184217,0.00514582,0.000513181,0.00354496,4.5072,49.2817,1.99942,0.0903898,0.228658,0.00307551,0.000752311,0.00488279,4.73879,50.9211,2.14623,0.11365,0.223452,0.000146714,0.00065368,0.00522946,4.09334,49.6819
"3199",2.21394,0.0574367,0.202862,0.00501954,0.000561182,0.00455491,3.83234,51.7729,2.08241,0.0937664,0.207187,0.00260024,0.000442023,0.00437207,4.59395,49.4776,2.15849,0.0537881,0.20672,0.00655226,0.000570789,0.0045593,4.17051,50.3102,2.34118,0.108319,0.248344,0.000150767,0.000517971,0.0050283,4.04738,50.3779
