lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,k_AccuKid,k_KidAccu,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat1.1.3,z_hat1.2.3,z_hat1.3.3,z_hat1.4.3,z_hat1.5.3,z_hat1.6.3,z_hat1.7.3,z_hat1.8.3,z_hat1.9.3,z_hat1.10.3,z_hat1.11.3,z_hat1.12.3,z_hat1.13.3,z_hat1.14.3,z_hat1.15.3,z_hat1.16.3,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,z_hat2.1.3,z_hat2.2.3,z_hat2.3.3,z_hat2.4.3,z_hat2.5.3,z_hat2.6.3,z_hat2.7.3,z_hat2.8.3,z_hat2.9.3,z_hat2.10.3,y0.1,y0.2,y0.3,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6
# Adaptation terminated
# Step size = 0.0321252
# Diagonal elements of inverse mass matrix:
# 0.00401547, 0.876791, 0.00938786, 0.992996, 0.00037686, 0.032861, 0.00869827, 0.00685939
-52.8507,0.99505,0.0321252,7,127,0,57.4299,1.98514,0.0111837,0.185089,0.0100954,49.4315,0.000537013,0.00407032,4.4161,40.5651,30.4127,19.3832,12.9844,9.26959,4.68618,4.00503,3.02854,1.56339,0.816876,0.323092,0.184316,0.113279,0.0657421,0.0423547,0.0350845,8.80985,18.8732,29.7466,35.9835,39.5334,43.4489,42.8105,32.4383,16.7468,8.75175,3.46333,1.97702,1.21618,0.706971,0.456374,0.378311,0.00185851,0.0104778,0.0357197,0.0694498,0.108031,0.279921,0.631826,3.65143,8.12661,10.2896,11.5245,11.7394,11.7402,11.559,11.0974,10.3122,9.26959,3.02854,1.56339,0.816876,0.323092,0.184316,0.113279,0.0657421,0.0423547,0.0350845,39.5334,32.4383,16.7468,8.75175,3.46333,1.97702,1.21618,0.706971,0.456374,0.378311,0.108031,3.65143,8.12661,10.2896,11.5245,11.7394,11.7402,11.559,11.0974,10.3122,49.4315,0,0,1.98514,0.0111837,0.185089,0.0100954,0.000537013,0.00407032
-52.1861,0.999966,0.0321252,7,127,0,54.7373,2.12225,0.0387512,0.18216,0.00683644,50.7127,0.00048085,0.00391582,3.96234,40.9414,29.9697,18.4109,11.9674,8.37301,4.25358,3.72667,2.8752,1.55344,0.847614,0.354147,0.206723,0.127744,0.0720975,0.0429026,0.0339433,9.58913,20.332,31.5906,37.7959,41.1868,44.6209,43.8945,33.9057,18.3201,9.99739,4.17865,2.44027,1.50894,0.85273,0.508378,0.40257,0.00195107,0.0109239,0.0368776,0.0711359,0.109953,0.280684,0.62782,3.63629,8.24931,10.6086,12.0828,12.4047,12.4793,12.3675,11.9653,11.2258,8.37301,2.8752,1.55344,0.847614,0.354147,0.206723,0.127744,0.0720975,0.0429026,0.0339433,41.1868,33.9057,18.3201,9.99739,4.17865,2.44027,1.50894,0.85273,0.508378,0.40257,0.109953,3.63629,8.24931,10.6086,12.0828,12.4047,12.4793,12.3675,11.9653,11.2258,50.7127,0,0,2.12225,0.0387512,0.18216,0.00683644,0.00048085,0.00391582
-55.9251,0.979861,0.0321252,7,127,0,58.6369,1.89423,0.0719761,0.207576,0.00363056,47.3398,0.00045342,0.00422752,4.53455,38.9709,29.3715,18.914,12.8251,9.27712,4.86711,4.19336,3.16401,1.62343,0.841935,0.32778,0.184207,0.111125,0.0626191,0.0392451,0.032555,8.05609,17.2742,27.2611,33.0096,36.2932,39.9418,39.3609,29.7572,15.2695,7.92018,3.08497,1.73477,1.04745,0.591247,0.371351,0.308294,0.00176474,0.00995528,0.0339683,0.066092,0.102868,0.266919,0.603041,3.487,7.76251,9.83737,11.0447,11.275,11.3036,11.1743,10.8059,10.1619,9.27712,3.16401,1.62343,0.841935,0.32778,0.184207,0.111125,0.0626191,0.0392451,0.032555,36.2932,29.7572,15.2695,7.92018,3.08497,1.73477,1.04745,0.591247,0.371351,0.308294,0.102868,3.487,7.76251,9.83737,11.0447,11.275,11.3036,11.1743,10.8059,10.1619,47.3398,0,0,1.89423,0.0719761,0.207576,0.00363056,0.00045342,0.00422752
-54.5987,0.998757,0.0321252,7,127,0,59.0296,2.11245,0.104943,0.192331,0.00079711,48.1005,0.000469134,0.00441175,4.17424,38.6183,28.0502,17.0457,11.0033,7.68324,3.97929,3.52397,2.70482,1.44329,0.778698,0.321447,0.187242,0.116296,0.0670735,0.0417819,0.0340904,9.02666,19.0638,29.4589,35.0987,38.1301,41.0829,40.3488,30.9988,16.5422,8.92622,3.6863,2.14832,1.33527,0.771148,0.481229,0.392939,0.00207125,0.011566,0.0388998,0.0748116,0.115358,0.292826,0.652532,3.76061,8.48811,10.8781,12.353,12.6712,12.7445,12.636,12.2479,11.5363,7.68324,2.70482,1.44329,0.778698,0.321447,0.187242,0.116296,0.0670735,0.0417819,0.0340904,38.1301,30.9988,16.5422,8.92622,3.6863,2.14832,1.33527,0.771148,0.481229,0.392939,0.115358,3.76061,8.48811,10.8781,12.353,12.6712,12.7445,12.636,12.2479,11.5363,48.1005,0,0,2.11245,0.104943,0.192331,0.00079711,0.000469134,0.00441175
-52.7864,0.996774,0.0321252,6,127,0,56.6841,2.05597,0.0767073,0.232403,0.00280386,48.3584,0.000419772,0.00463563,4.16739,39.1702,28.8744,18.0618,12.0582,8.7214,4.9134,4.39852,3.30435,1.67408,0.857595,0.328494,0.183238,0.110251,0.0625546,0.0401093,0.03388,8.8504,18.7425,29.0697,34.7304,37.8032,40.8428,40.058,30.1204,15.2611,7.81905,2.99644,1.67246,1.00719,0.572398,0.367729,0.310843,0.00213242,0.0119295,0.0402249,0.0775168,0.119719,0.304952,0.680573,3.89197,8.62011,10.8938,12.209,12.4626,12.5005,12.3758,12.008,11.361,8.7214,3.30435,1.67408,0.857595,0.328494,0.183238,0.110251,0.0625546,0.0401093,0.03388,37.8032,30.1204,15.2611,7.81905,2.99644,1.67246,1.00719,0.572398,0.367729,0.310843,0.119719,3.89197,8.62011,10.8938,12.209,12.4626,12.5005,12.3758,12.008,11.361,48.3584,0,0,2.05597,0.0767073,0.232403,0.00280386,0.000419772,0.00463563
-52.8174,0.9741,0.0321252,7,159,0,57.9219,2.15108,0.0170595,0.190294,0.00856325,49.096,0.000508753,0.0044613,3.67593,39.6127,28.9865,17.8282,11.634,8.19303,4.27659,3.77443,2.88886,1.53213,0.822502,0.338352,0.197537,0.123579,0.0726064,0.0465466,0.0383789,9.40162,19.9115,30.8879,36.9092,40.1826,43.4509,42.6953,32.7127,17.351,9.31607,3.83415,2.23968,1.40222,0.825028,0.52983,0.437173,0.00218,0.0121962,0.041128,0.0792644,0.122429,0.311979,0.696824,4.01636,9.03404,11.5422,13.058,13.3667,13.4197,13.2735,12.8199,12.0107,8.19303,2.88886,1.53213,0.822502,0.338352,0.197537,0.123579,0.0726064,0.0465466,0.0383789,40.1826,32.7127,17.351,9.31607,3.83415,2.23968,1.40222,0.825028,0.52983,0.437173,0.122429,4.01636,9.03404,11.5422,13.058,13.3667,13.4197,13.2735,12.8199,12.0107,49.096,0,0,2.15108,0.0170595,0.190294,0.00856325,0.000508753,0.0044613
-53.2455,0.975856,0.0321252,7,255,0,55.5423,1.88599,0.0789738,0.190768,0.00300018,50.2291,0.000405374,0.00441896,4.02897,41.3473,31.1368,19.9751,13.4471,9.62671,4.8425,4.11273,3.11635,1.61603,0.846398,0.333368,0.188033,0.113271,0.0630849,0.0386263,0.0318298,8.51822,18.2874,28.9097,35.0536,38.581,42.5496,41.9704,31.8748,16.5304,8.65909,3.41206,1.92563,1.16097,0.647654,0.397424,0.327779,0.0019499,0.0110088,0.0376071,0.0732429,0.114088,0.296623,0.671174,3.8949,8.72066,11.1043,12.5386,12.8399,12.9076,12.8065,12.4519,11.8067,9.62671,3.11635,1.61603,0.846398,0.333368,0.188033,0.113271,0.0630849,0.0386263,0.0318298,38.581,31.8748,16.5304,8.65909,3.41206,1.92563,1.16097,0.647654,0.397424,0.327779,0.114088,3.8949,8.72066,11.1043,12.5386,12.8399,12.9076,12.8065,12.4519,11.8067,50.2291,0,0,1.88599,0.0789738,0.190768,0.00300018,0.000405374,0.00441896
-51.2578,0.99991,0.0321252,7,127,0,55.853,2.43484,0.0453889,0.259432,0.00665099,49.024,0.000489439,0.00521179,3.98644,38.3858,27.004,15.8856,10.2675,7.42454,4.66549,4.347,3.21844,1.57472,0.782362,0.291371,0.163089,0.10092,0.0618484,0.0441426,0.0386894,10.4345,21.5671,32.3675,37.736,40.3641,42.3766,41.2981,30.5831,14.9651,7.43637,2.77108,1.55216,0.961421,0.590105,0.421779,0.369821,0.0028437,0.0156515,0.0515926,0.0976618,0.148732,0.36704,0.803143,4.49434,9.7806,12.2071,13.5077,13.7098,13.6932,13.4928,13.0166,12.221,7.42454,3.21844,1.57472,0.782362,0.291371,0.163089,0.10092,0.0618484,0.0441426,0.0386894,40.3641,30.5831,14.9651,7.43637,2.77108,1.55216,0.961421,0.590105,0.421779,0.369821,0.148732,4.49434,9.7806,12.2071,13.5077,13.7098,13.6932,13.4928,13.0166,12.221,49.024,0,0,2.43484,0.0453889,0.259432,0.00665099,0.000489439,0.00521179
-50.2949,0.944452,0.0321252,7,127,0,56.5894,2.24177,0.0647224,0.212205,0.00475739,51.3888,0.000436656,0.00442055,4.09638,40.9078,29.3857,17.6426,11.3721,8.02067,4.45703,4.03673,3.05807,1.57959,0.824781,0.324433,0.183547,0.111383,0.0631518,0.0397051,0.0330069,10.1788,21.3411,32.6503,38.6088,41.7137,44.5151,43.5881,33.0393,17.067,8.91271,3.50734,1.98528,1.20566,0.684558,0.431171,0.358684,0.00234452,0.0130282,0.0435186,0.083239,0.127799,0.321171,0.710975,4.05515,9.03932,11.4813,12.9275,13.2178,13.2693,13.1411,12.7414,12.0294,8.02067,3.05807,1.57959,0.824781,0.324433,0.183547,0.111383,0.0631518,0.0397051,0.0330069,41.7137,33.0393,17.067,8.91271,3.50734,1.98528,1.20566,0.684558,0.431171,0.358684,0.127799,4.05515,9.03932,11.4813,12.9275,13.2178,13.2693,13.1411,12.7414,12.0294,51.3888,0,0,2.24177,0.0647224,0.212205,0.00475739,0.000436656,0.00442055
-48.8638,0.815735,0.0321252,5,59,0,55.3696,2.19081,0.0469199,0.218867,0.00602972,49.435,0.000438352,0.00464993,3.95485,39.6246,28.7591,17.5554,11.4812,8.18494,4.58285,4.13528,3.1298,1.61376,0.841592,0.331152,0.187857,0.114624,0.0657923,0.0421105,0.0353006,9.5971,20.1999,31.0687,36.8847,39.9645,42.849,41.9893,31.8012,16.3983,8.55312,3.36701,1.91112,1.16704,0.67087,0.430173,0.360848,0.00232298,0.0129423,0.0433895,0.0832324,0.12808,0.323543,0.718472,4.10575,9.14727,11.6126,13.0701,13.3624,13.4147,13.287,12.8883,12.1778,8.18494,3.1298,1.61376,0.841592,0.331152,0.187857,0.114624,0.0657923,0.0421105,0.0353006,39.9645,31.8012,16.3983,8.55312,3.36701,1.91112,1.16704,0.67087,0.430173,0.360848,0.12808,4.10575,9.14727,11.6126,13.0701,13.3624,13.4147,13.287,12.8883,12.1778,49.435,0,0,2.19081,0.0469199,0.218867,0.00602972,0.000438352,0.00464993
