"","k_kidDD","d_DD","maxdeath","hillDD","k_hillnec","d_CD","k_CDINF","d_INF","k_INFKF","hillKF","h1","INF0"
"3766",0.244717,0.0813415,12.3047,40.5614,4.5458,0.00359154,0.197058,0.0103521,0.0648443,15.5623,9.61989,0.000750147
"3767",0.219733,0.0892998,12.7608,43.1442,4.32915,0.0034723,0.410381,0.0233174,0.0602644,15.0661,7.93985,0.000473969
"3768",0.277017,0.094906,13.3721,36.6717,4.39983,0.00517022,0.152521,0.00791555,0.058089,13.1967,9.82856,0.000713951
"3769",0.312767,0.123704,12.6637,35.7872,3.914,0.00556208,0.180903,0.00714773,0.0546011,11.8158,9.95477,0.000507832
"3770",0.205199,0.0766791,12.8428,42.6052,4.66444,0.00523514,0.208901,0.0100576,0.0498624,11.9478,7.90036,0.000606153
"3771",0.101972,0.0364509,12.6314,40.963,3.94707,0.00980135,0.186172,0.011143,0.0464528,11.658,8.82533,0.00050547
"3772",0.114328,0.0428154,12.7867,44.8713,3.95087,0.00844079,0.26557,0.0126785,0.0274324,10.0783,8.48058,0.000659742
"3773",0.162724,0.0554141,12.7846,37.6877,4.71657,0.00696932,0.420118,0.0195564,0.0731983,14.0325,8.45927,0.000537924
"3774",0.15859,0.0584338,12.3211,40.0469,4.67189,0.00633326,0.260783,0.0130775,0.0658796,14.5472,7.74316,0.000395478
"3775",0.169047,0.0595215,12.258,39.8077,4.14227,0.00694187,0.350965,0.0149964,0.0516242,12.5734,9.38363,0.000853545
"3776",0.184726,0.0612365,13.4678,42.918,4.35992,0.00769881,0.254786,0.0147849,0.0611684,12.6305,8.76884,0.000323411
"3777",0.142073,0.0543113,12.4143,38.6484,4.29181,0.00603886,0.383284,0.0184404,0.0242213,9.35223,8.37712,0.000711712
"3778",0.160901,0.055015,13.1111,43.1751,4.04708,0.00717922,0.410641,0.0175088,0.0104616,9.66338,9.59276,0.000449806
"3779",0.127988,0.0411757,12.8194,42.9083,4.12452,0.00874535,0.391094,0.0179872,0.0137361,9.159,9.71243,0.000638019
"3780",0.122795,0.0474361,13.7894,46.4765,4.02076,0.00622493,0.286281,0.0136942,0.0248283,11.2624,8.17432,0.000457489
"3781",0.167812,0.052789,12.4644,36.1284,4.69307,0.00631454,0.19069,0.0115946,0.0511118,14.4451,9.26767,0.000277152
"3782",0.130975,0.0486238,13.6432,41.4472,4.37153,0.00879535,0.153424,0.00890829,0.0311496,10.0659,7.8975,0.00060669
"3783",0.122743,0.0464393,13.4138,38.4784,4.31666,0.0128339,0.207969,0.00763846,0.0265535,10.2611,8.28632,0.000652505
"3784",0.146784,0.0488804,12.8464,45.6015,4.20475,0.00650949,0.169569,0.00998829,0.0244939,11.009,9.32619,0.000402923
"3785",0.132018,0.0504621,12.8281,38.8332,4.49131,0.00628091,0.246835,0.0142453,0.0438444,11.5072,7.59942,0.000692742
"3786",0.142949,0.0533517,12.4228,42.1992,4.18641,0.00496906,0.234285,0.0119865,0.0365915,10.9203,8.59629,0.000514919
"3787",0.144069,0.0504358,13.1936,40.5164,4.4459,0.00901947,0.253091,0.0121469,0.115905,16.9447,8.3216,0.000467721
"3788",0.268172,0.108792,12.7023,39.4855,4.08505,0.00325567,0.254622,0.0126221,0.02269,10.3233,8.91806,0.000627184
"3789",0.261588,0.111835,11.9,42.4186,3.93659,0.00322787,0.289944,0.0145674,0.092752,17.2011,8.52075,0.000541202
"3790",0.160842,0.0575093,13.7838,44.8317,4.31019,0.0055885,0.288851,0.0143818,0.0459611,11.1907,8.60681,0.000533627
"3791",0.257495,0.102454,12.236,37.4617,4.0236,0.00573059,0.235897,0.0106813,0.0942096,14.3418,8.86599,0.000687644
"3792",0.28881,0.105653,12.149,37.3834,4.43293,0.00320935,0.218045,0.0126531,0.0367018,12.2279,9.15844,0.00063659
"3793",0.293173,0.115385,13.1101,41.1636,4.27073,0.00455823,0.331647,0.01397,0.056926,12.6086,8.45239,0.000376455
"3794",0.159706,0.0645481,12.8937,40.4871,4.07867,0.00547712,0.17855,0.00925567,0.0440768,11.5308,8.49905,0.000675472
"3795",0.115727,0.0384686,13.1652,35.9496,4.51336,0.0125286,0.221164,0.0105844,0.0289332,11.2067,8.77306,0.000524807
"3796",0.146119,0.0531724,12.8368,41.506,4.51708,0.00685246,0.247071,0.0116955,0.0366439,12.3513,7.98517,0.000452559
"3797",0.131607,0.0479038,12.9293,39.1144,4.23737,0.00672014,0.319614,0.0163634,0.0410979,12.2445,8.66044,0.00016506
"3798",0.200638,0.0756977,12.165,43.4,4.01775,0.00351133,0.276254,0.0137752,0.0306561,11.8092,9.31927,0.000262409
"3799",0.148357,0.044624,13.7245,36.0659,4.74783,0.00911105,0.225364,0.0125088,0.0327384,11.1276,9.49046,0.000696779
"3800",0.1341,0.0413446,13.3821,37.1199,4.75291,0.00900312,0.181606,0.00945751,0.0418112,10.9196,9.31498,0.000671144
