"","k_cDD","degDD","hillDD","k_inter","maxdeath","k_hillnec","p","h"
"8129",0.27647,0.0468763,0.00311789,0.0448914,0.193657,4.7808,0.732278,29.8162
"8130",0.269283,0.0468533,0.00270949,0.0479903,0.158531,4.72351,0.77728,31.2165
"8131",0.268859,0.0447929,0.00370269,0.0422521,0.427676,4.9261,0.80811,25.003
"8132",0.26816,0.0436196,0.00367715,0.0434357,0.686027,5.08053,0.770935,25.1857
"8133",0.296882,0.0466843,0.00386569,0.0399544,1.65284,5.44424,0.721681,26.0716
"8134",0.257444,0.0348625,0.00363523,0.080187,0.940716,5.587,0.705177,27.604
"8135",0.257769,0.0393114,0.00384261,0.0618217,0.909537,5.19412,0.765447,27.4979
"8136",0.218756,0.0297214,0.00374643,0.105952,0.857214,5.1254,0.752488,26.7042
"8137",0.24333,0.0368178,0.00301298,0.0728998,0.857278,5.31577,0.786361,27.0618
"8138",0.243196,0.0360818,0.00332183,0.0849854,0.952247,5.23799,0.772605,27.8392
"8139",0.249607,0.0386124,0.00400308,0.0568869,1.49902,5.23294,0.753865,25.1401
"8140",0.254906,0.0424476,0.00340246,0.0463685,0.789892,4.95242,0.735103,27.73
"8141",0.285467,0.0505853,0.00309551,0.0400003,1.04681,5.0272,0.874236,27.4165
"8142",0.244669,0.0385454,0.00346156,0.0577865,1.09838,5.13007,0.708721,26.8904
"8143",0.263529,0.0437212,0.00343545,0.0538648,1.23597,5.09351,0.71216,27.1066
"8144",0.284967,0.0487993,0.00350327,0.0398144,1.25817,5.10976,0.75108,25.9279
"8145",0.263201,0.0436869,0.00350987,0.0503855,1.10567,5.05782,0.71756,27.1814
"8146",0.267082,0.043611,0.00338053,0.0533603,0.984518,5.16782,0.869492,27.2838
"8147",0.253122,0.0412789,0.00325155,0.0588433,1.03821,5.13507,0.89167,27.621
"8148",0.24668,0.0386176,0.00298972,0.0763699,1.1891,5.21005,0.806955,29.3288
"8149",0.309462,0.0564323,0.0028695,0.026021,1.00816,4.92571,0.772449,27.9706
"8150",0.313599,0.0587707,0.0024374,0.0280252,1.35363,4.89031,0.715952,32.961
"8151",0.314483,0.0590977,0.00275023,0.0243988,0.884822,4.82967,0.839205,27.8378
"8152",0.305407,0.0571117,0.00290436,0.0211684,1.255,4.88517,0.894216,25.1327
"8153",0.293622,0.0466387,0.00402571,0.0352821,0.993658,5.25522,0.724295,24.5723
"8154",0.284759,0.0472242,0.00385271,0.030229,0.913327,5.1219,0.752426,22.7086
"8155",0.275028,0.0455452,0.00341105,0.045911,0.941147,5.19308,0.872789,25.9591
"8156",0.290299,0.049243,0.00383187,0.0260346,0.661188,4.91207,0.750299,23.3103
"8157",0.298103,0.0504626,0.00416737,0.0297215,0.611111,4.91504,0.772852,23.2529
"8158",0.29482,0.0468803,0.00471629,0.0332281,1.71062,5.26262,0.720959,22.7564
"8159",0.278794,0.0435227,0.00424479,0.0319041,0.951946,5.26211,0.722138,22.052
"8160",0.238074,0.0391989,0.00304935,0.086276,0.743202,4.83467,0.834435,30.0405
"8161",0.305048,0.0536184,0.00359491,0.0288873,0.987854,4.97262,0.736311,24.5015
"8162",0.295952,0.0515875,0.00331042,0.030738,0.527885,4.92122,0.716518,24.8637
"8163",0.298766,0.0552847,0.00262303,0.0270004,0.604296,4.82489,0.799787,28.3373
"8164",0.286978,0.0496341,0.00321719,0.037585,0.497715,4.94342,0.764846,26.6353
"8165",0.284361,0.0512028,0.00290029,0.0329651,0.794518,4.87965,0.734226,28.5122
"8166",0.218479,0.0280624,0.00472472,0.090405,0.860669,5.28043,0.808898,22.1614
"8167",0.206039,0.0275938,0.00415757,0.100524,0.771094,5.03219,0.770079,23.8356
"8168",0.258818,0.0394395,0.00381891,0.0586699,1.60905,5.45554,0.846924,24.8154
"8169",0.272924,0.0419746,0.00378134,0.0527229,1.25001,5.43677,0.851577,25.4124
"8170",0.273807,0.046125,0.00391936,0.0368422,1.21154,5.07493,0.833157,24.3058
"8171",0.271339,0.0464399,0.00370826,0.0361309,1.0855,4.9922,0.807087,25.1227
"8172",0.308635,0.0555853,0.00289491,0.0193466,1.17752,4.94866,0.702071,24.8521
"8173",0.285701,0.0487314,0.00376591,0.0336863,0.65605,4.95042,0.840877,25.1193
"8174",0.269391,0.0476089,0.00377543,0.0372114,0.548808,4.75141,0.851805,24.3704
"8175",0.305745,0.0524584,0.00318812,0.0394336,1.38109,5.24308,0.795735,27.2818
"8176",0.258861,0.0467994,0.00347455,0.0366566,0.654168,4.66267,0.774641,26.0434
"8177",0.232286,0.0392763,0.0034485,0.0658401,1.20964,4.77342,0.747821,29.0039
"8178",0.280963,0.0475743,0.00353161,0.0331138,0.623619,4.96946,0.754958,25.416
"8179",0.257077,0.0416708,0.00350755,0.0495253,1.08507,5.10504,0.7247,27.0739
"8180",0.265312,0.0429018,0.0036517,0.0483236,0.859311,5.14686,0.733809,24.8258
"8181",0.252363,0.0381262,0.00366929,0.0713239,0.86978,5.18846,0.75806,27.5972
"8182",0.25931,0.0417888,0.00310433,0.0576315,1.0834,5.19671,0.722248,28.2625
"8183",0.248843,0.0402331,0.00340603,0.0598671,1.28306,5.06333,0.718247,28.6285
"8184",0.245102,0.0380511,0.00321161,0.0692227,0.72267,5.10682,0.705063,27.8416
"8185",0.247102,0.0384377,0.003238,0.0738211,0.71722,5.09124,0.706298,27.6943
"8186",0.306435,0.0587942,0.00281721,0.0248293,0.413676,4.62611,0.964237,27.4752
"8187",0.317545,0.0562656,0.00298477,0.0306243,1.16531,5.04346,0.724493,29.591
"8188",0.292355,0.051282,0.00316627,0.037486,1.25324,5.04001,0.852054,29.4999
"8189",0.283116,0.0504722,0.00287033,0.0335272,0.703659,4.88869,0.722986,28.9855
"8190",0.286561,0.0509126,0.00296556,0.025516,1.1812,4.98988,0.714645,25.9598
"8191",0.263844,0.042261,0.0035699,0.0553684,0.780243,5.13251,0.844901,27.148
"8192",0.233172,0.0327708,0.00410117,0.0886527,0.93999,5.21726,0.774746,24.6259
"8193",0.277294,0.048793,0.00286041,0.0492633,1.27175,5.05387,0.793971,29.2246
"8194",0.332112,0.0637215,0.00263612,0.0220517,1.05102,4.7696,0.781926,29.3846
"8195",0.336117,0.0638027,0.00243855,0.0224578,1.01588,4.84251,0.848109,31.6834
"8196",0.297359,0.0549393,0.00240965,0.0302408,0.882753,4.92127,0.843894,31.2514
"8197",0.282095,0.0473208,0.00376011,0.0321322,0.724056,4.99392,0.730457,24.141
"8198",0.263175,0.0452101,0.00269155,0.0597372,0.896029,4.98775,0.741306,31.2436
"8199",0.27023,0.0456495,0.00290791,0.0569504,1.25242,5.21419,0.909395,28.2349
"8200",0.270812,0.0447083,0.00291947,0.0582581,1.3344,5.24031,0.89117,30.6444
"8201",0.289496,0.0508993,0.00311604,0.0301041,0.729854,4.92402,0.71832,27.2076
"8202",0.288047,0.0519364,0.0028613,0.0360801,1.01863,4.87358,0.705163,31.1836
"8203",0.247401,0.0341242,0.00472707,0.0638532,0.934579,5.49284,0.859326,21.8421
"8204",0.249398,0.0339484,0.00475099,0.0623735,0.919539,5.50875,0.851993,22.3881
"8205",0.251084,0.0350388,0.00448932,0.0629223,1.07206,5.49114,0.844744,23.6712
"8206",0.278136,0.0469948,0.00342111,0.0383222,0.676674,4.99818,0.718632,26.5038
"8207",0.256727,0.0435665,0.00385571,0.0446137,0.946255,4.86828,0.729571,25.502
"8208",0.25469,0.0398402,0.00383905,0.0541327,0.811486,5.12532,0.731945,25.1471
"8209",0.25312,0.0387028,0.00438874,0.0507071,0.871815,5.18577,0.797028,23.2382
"8210",0.292742,0.0485952,0.00371902,0.0314826,1.02164,5.1548,0.725297,24.1623
"8211",0.309485,0.0521634,0.00370446,0.0226814,0.840049,5.04824,0.709573,22.8435
"8212",0.277574,0.0491415,0.00274881,0.0397285,1.25629,5.02742,0.830591,30.9693
"8213",0.296037,0.0526138,0.00306078,0.0253944,0.831709,4.913,0.734734,26.6384
"8214",0.327246,0.061491,0.00239866,0.0239835,1.18922,4.90881,0.713655,30.7162
"8215",0.315037,0.0614192,0.00232694,0.0316272,0.913362,4.743,0.850978,33.9485
"8216",0.306114,0.0511105,0.00406044,0.0307877,0.765594,5.10715,0.830321,23.2037
"8217",0.266653,0.0463692,0.0026652,0.0603564,0.657104,4.90675,0.832543,32.7328
"8218",0.283855,0.0481517,0.00313476,0.0458701,1.51387,5.19652,0.937769,30.1738
"8219",0.289668,0.0495876,0.0031939,0.0453131,1.58194,5.18672,0.943527,29.951
"8220",0.286624,0.0505217,0.00250407,0.0443397,0.945577,5.13245,0.93377,30.858
"8221",0.276977,0.0472309,0.00300019,0.0440511,1.04715,5.04728,0.729808,30.5161
"8222",0.260426,0.0437522,0.00332302,0.0480593,1.14101,5.09961,0.913276,27.3849
"8223",0.270907,0.0422721,0.00385963,0.0457196,1.16017,5.32283,0.791998,25.4268
"8224",0.268252,0.0425215,0.00392241,0.0540998,1.24334,5.22215,0.79068,25.977
"8225",0.296821,0.0523565,0.00312735,0.037971,1.00245,5.00053,0.765264,28.8818
"8226",0.295131,0.0526483,0.00300462,0.0324404,0.877268,4.93607,0.79005,28.8769
"8227",0.281957,0.0505914,0.002725,0.0410812,1.14461,4.96396,0.715105,30.6913
"8228",0.29572,0.054786,0.00232553,0.0401522,0.70284,4.87067,0.79151,33.8732
"8229",0.304902,0.053961,0.00289896,0.0325083,0.792059,4.99304,0.718492,28.8616
"8230",0.277267,0.0498991,0.00309747,0.0351038,0.959108,4.92123,0.871391,27.0642
"8231",0.318127,0.0567311,0.00274799,0.0244996,1.2391,5.08105,0.701288,27.8178
"8232",0.281571,0.0501401,0.00329548,0.0319196,0.683404,4.8232,0.700209,25.7906
"8233",0.337839,0.0641945,0.00236097,0.0201915,1.14861,4.88395,0.810172,29.8926
"8234",0.332746,0.060448,0.0029603,0.020217,1.27167,4.96006,0.739859,26.2066
"8235",0.33128,0.0603138,0.0030737,0.0192806,1.34436,4.91746,0.738858,25.8304
"8236",0.294727,0.0475359,0.00373311,0.0440719,1.03687,5.35213,0.89493,25.2949
"8237",0.299677,0.0482554,0.00404772,0.0377457,1.24037,5.27403,0.786084,25.8911
"8238",0.254135,0.0389544,0.00384422,0.053515,0.526234,5.13726,0.743447,24.5961
"8239",0.248413,0.0388895,0.00395165,0.0614868,0.921169,5.00801,0.708636,26.9897
"8240",0.25872,0.0392957,0.0041873,0.0492949,0.928384,5.23154,0.700559,24.4307
"8241",0.236058,0.0342401,0.00476792,0.0605328,0.87925,5.10694,0.700602,22.4057
"8242",0.243951,0.0337186,0.00472142,0.0609998,1.05778,5.33962,0.701426,23.6065
"8243",0.235032,0.0338496,0.00472215,0.0555499,1.0911,5.22106,0.704395,22.038
"8244",0.233124,0.0334208,0.0040562,0.0737828,0.757953,5.17631,0.715171,24.2396
"8245",0.241355,0.0351888,0.00425951,0.0687056,1.56357,5.35715,0.818741,24.0308
"8246",0.248244,0.0394593,0.00340068,0.0671641,0.771617,5.07596,0.893929,27.6171
"8247",0.25073,0.0402062,0.00343972,0.0643603,0.784582,5.06846,0.931686,27.9061
"8248",0.240457,0.0378078,0.00305145,0.0764535,0.716022,5.11407,0.889662,27.5153
"8249",0.263924,0.0420287,0.00331456,0.0622509,1.07799,5.18396,0.703377,28.5354
