"","mean","sd","rhat"
"sol3[18,4]",0.0002898729516875,2.78812444520661e-05,1.00057718240489
"sol3[19,4]",0.00024590748275,3.16105730946334e-05,1.00082371333674
"sol3[20,4]",0.000235126255125,3.23221629354007e-05,1.0008160261024
"sol3[21,4]",0.00023168479625,3.25214707095663e-05,1.00077872491865
"sol3[22,4]",0.000225022223125,3.28644353831905e-05,1.00083864606648
"sol3[23,4]",0.000215555681875,3.32460254065882e-05,1.00088961006091
"sol3[24,4]",0.0002066868045,3.34794849835437e-05,1.00088408377147
"sol3[25,4]",0.00019838666694375,3.35754235824231e-05,1.00087922761665
"sol3[26,4]",0.00019062571873125,3.35457106409971e-05,1.00084417175833
"sol3[27,4]",0.00018337050828125,3.34041526067154e-05,1.00089568458734
"sol3[28,4]",0.0001765823606125,3.31665527926193e-05,1.00090190777838
"sol3[29,4]",0.0001702302096875,3.28456818476917e-05,1.00085695586491
"sol3[30,4]",0.0001642914829,3.24508309360807e-05,1.00087870443884
"sol3[31,4]",0.0001587417535625,3.19916301320055e-05,1.00091331996808
"sol3[32,4]",0.000153552247,3.14789809512717e-05,1.00089582670558
"sol3[33,4]",0.00014869104134375,3.09245634990955e-05,1.00088505964822
"sol3[34,4]",0.0001441388446625,3.03350014295135e-05,1.00088350417696
"sol3[35,4]",0.0001309642968125,2.81895465927783e-05,1.00092312506567
"sol3[1,5]",0.051109868825,0.0143266158387058,1.00062321696431
"sol3[2,5]",0.15603302934375,0.0392654293992062,1.00059209210047
"sol3[3,5]",0.3666906268125,0.0787510156955324,1.00058893112836
"sol3[4,5]",0.4650161130625,0.0912484693781348,1.0005884831029
"sol3[5,5]",0.48658514525,0.0930478433317234,1.00058888076155
"sol3[6,5]",0.5028906575625,0.0940301820854226,1.00058974974303
"sol3[7,5]",0.505207134,0.0941364529938273,1.00058975498284
"sol3[8,5]",0.5209958203125,0.0945759926672334,1.00059337318341
"sol3[9,5]",0.534088428875,0.0944300326049183,1.00059611109235
"sol3[10,5]",0.5446383064375,0.0937625328875672,1.00059671212273
"sol3[11,5]",0.55280929075,0.092636631057186,1.00059738030437
"sol3[12,5]",0.5587711313125,0.0911137582669162,1.00059874564256
"sol3[13,5]",0.5626957398125,0.0892528935904006,1.00060380811642
"sol3[14,5]",0.5647539025625,0.0871099056909225,1.00060759575143
"sol3[15,5]",0.5651132324375,0.0847372851187465,1.00061464729836
"sol3[16,5]",0.5639363020625,0.0821838392654426,1.00061818814466
"sol3[17,5]",0.5613793650625,0.0794945887204313,1.00062431267482
"sol3[18,5]",0.557591302125,0.0767106683652609,1.00062954641666
"sol3[19,5]",0.536346124375,0.0666316201995902,1.00065783518541
"sol3[20,5]",0.52861565625,0.063831581771069,1.00067061143026
"sol3[21,5]",0.525909556,0.0629120118528127,1.0006751124676
"sol3[22,5]",0.5203249385,0.0610978878677607,1.00068349103432
"sol3[23,5]",0.5115673591875,0.0584488320163889,1.00069721502084
"sol3[24,5]",0.50242827675,0.0558997993605507,1.00070887615583
"sol3[25,5]",0.492985255375,0.0534634596245274,1.00072597466403
"sol3[26,5]",0.483308578125,0.0511498966895497,1.00074076163792
"sol3[27,5]",0.4734617170625,0.0489668035193149,1.00075963709074
"sol3[28,5]",0.4635017235625,0.0469196130558011,1.00077749810344
"sol3[29,5]",0.4534795571875,0.0450115823679965,1.00079203256113
"sol3[30,5]",0.4434404973125,0.0432439343001331,1.00080442698938
"sol3[31,5]",0.4334246403125,0.0416160255906641,1.00081206704434
"sol3[32,5]",0.423467353,0.0401254679629234,1.000818615849
"sol3[33,5]",0.4135996503125,0.0387683182538419,1.00082227995256
"sol3[34,5]",0.403848361625,0.0375392174886772,1.00082530340599
"sol3[35,5]",0.3724575720625,0.0342759423266846,1.00082324984473
"sol3[1,6]",4.5113480076345e-45,2.88995682413299e-43,1.00102439099787
"sol3[2,6]",3.61933882278983e-35,1.78862729166695e-33,1.00102927777755
"sol3[3,6]",1.67695871538668e-27,5.9909950609611e-26,1.00101321038149
"sol3[4,6]",2.17724116899175e-25,5.74918809429063e-24,1.00100231734009
"sol3[5,6]",5.53258550033435e-25,1.34781511285936e-23,1.00099753513476
"sol3[6,6]",1.09613203352996e-24,2.50400526791616e-23,1.00099481498701
"sol3[7,6]",1.20657603928398e-24,2.73059076805665e-23,1.0009941971615
"sol3[8,6]",2.31099760009168e-24,4.89837042472199e-23,1.00098989992459
"sol3[9,6]",3.96378644658242e-24,7.93869982608574e-23,1.00098667921359
"sol3[10,6]",6.18993848083909e-24,1.18188498659762e-22,1.00098386106541
"sol3[11,6]",8.92710649923337e-24,1.63875228414062e-22,1.00098197186004
"sol3[12,6]",1.20370905458361e-23,2.14061440588946e-22,1.00097859061034
"sol3[13,6]",1.53370039303791e-23,2.65958626328759e-22,1.00097437189095
"sol3[14,6]",1.86368855032036e-23,3.16855565011754e-22,1.00097062443178
"sol3[15,6]",2.17713870547367e-23,3.64487634879992e-22,1.00096565332626
