"","k_cDD","degDD","hillDD","k_inter","maxdeath","k_hillnec","p","h"
"1",0.197483,0.037426,0.00355511,0.0796854,1.39615,4.23065,0.86524,26.5465
"2",0.203104,0.0391424,0.00378771,0.068919,1.57746,4.12307,0.704605,29.2402
"3",0.189501,0.0312122,0.00419514,0.101863,0.330768,4.08169,0.954394,29.355
"4",0.19727,0.0396164,0.00291848,0.0775909,1.48953,4.09408,0.703334,30.2193
"5",0.200776,0.040478,0.00355392,0.0590862,0.464354,3.90081,0.700156,28.0597
"6",0.219169,0.0399701,0.00437023,0.0558261,0.0898944,3.83427,0.704168,33.3646
"7",0.19847,0.039682,0.00327969,0.0750713,5.56264,4.31617,0.701887,26.9993
"8",0.202408,0.031615,0.00491457,0.0959611,1.0955,4.30933,0.701144,29.7256
"9",0.17791,0.0326986,0.0033844,0.1182,1.6604,4.04257,0.856337,28.9275
"10",0.281183,0.0491924,0.00538986,0.0350886,0.734329,4.38301,0.875199,31.285
"11",0.224613,0.0379522,0.0051692,0.0657328,2.54347,4.47051,0.792549,29.4873
"12",0.24119,0.0472091,0.00431853,0.0483149,0.892202,4.13979,0.964936,31.4955
"13",0.242439,0.0475051,0.00441664,0.0450035,1.06668,4.13447,0.906632,31.5364
"14",0.241861,0.0419126,0.00514948,0.0511655,1.3064,4.38676,0.733377,30.818
"15",0.22301,0.0400136,0.0047458,0.0630425,0.760685,4.17578,0.868835,31.0372
"16",0.277355,0.0491676,0.00542539,0.0385734,2.23607,4.44405,0.771484,32.4068
"17",0.291765,0.0481281,0.00595822,0.0370833,1.7813,4.60543,0.804667,32.9713
"18",0.260487,0.0508172,0.00446012,0.0376472,1.00466,4.20206,0.855971,30.2861
"19",0.214703,0.0317566,0.00596664,0.0830735,1.3798,4.44199,0.772743,30.6888
"20",0.231731,0.0322264,0.0069274,0.0686631,0.741118,4.54093,0.854685,31.4086
"21",0.182642,0.0341653,0.00307117,0.0985632,0.677821,4.08104,0.741842,25.1007
"22",0.248045,0.0433647,0.00568428,0.0485745,0.913195,4.20384,0.775769,33.4339
"23",0.200712,0.0404564,0.00365733,0.0632134,1.55839,4.08774,0.862581,27.8571
"24",0.243624,0.0409245,0.00607529,0.0526641,0.406076,4.11703,0.733934,33.4913
"25",0.226273,0.0439518,0.00376884,0.062365,1.58108,4.34855,0.84463,26.7632
"26",0.195071,0.0294247,0.00524938,0.0998449,0.721046,4.19555,0.806045,31.8136
"27",0.216249,0.0278372,0.00669524,0.0882362,1.48626,4.69466,0.767095,30.4298
"28",0.199386,0.0274031,0.00576046,0.100317,1.85568,4.74634,0.849395,23.3292
"29",0.200973,0.0418574,0.00304694,0.0681598,0.197608,3.75706,0.766109,29.1407
"30",0.20299,0.0394823,0.00403159,0.0639948,0.273071,3.84031,0.728028,28.2386
"31",0.177055,0.0352257,0.00289293,0.103188,0.76506,3.89142,0.863455,28.1677
"32",0.183369,0.0357659,0.00267793,0.108867,0.741181,4.05408,0.936637,27.1371
"33",0.237983,0.0397502,0.00532608,0.0607889,0.200082,4.12613,0.703762,31.9268
"34",0.236161,0.0424963,0.00484159,0.0547202,0.337175,4.09584,0.705089,30.0321
"35",0.225202,0.0397581,0.00475441,0.0584782,0.262219,4.08677,0.701802,29.2938
"36",0.256692,0.050241,0.00433371,0.0393457,0.13566,3.85447,0.706145,36.0097
"37",0.287862,0.0551085,0.00417282,0.0268199,0.948887,4.35756,0.969383,29.5919
"38",0.193149,0.0338729,0.00411273,0.0985852,0.92702,4.01505,0.736265,33.5342
"39",0.208051,0.0418813,0.00347376,0.0598382,0.394932,4.05891,0.906934,24.0139
"40",0.201118,0.0407495,0.00328838,0.0619293,0.201827,3.85309,0.872343,27.4027
"41",0.182302,0.0340365,0.00316545,0.0929002,0.964865,4.07745,0.701352,27.779
"42",0.218057,0.042099,0.00386533,0.0648009,0.775808,4.12678,0.95157,30.2197
"43",0.195039,0.0309436,0.00462443,0.0883346,2.22351,4.48419,0.726371,26.6092
"44",0.192839,0.0327407,0.00409162,0.101138,0.881221,4.21572,0.935171,27.9293
"45",0.190266,0.028574,0.0049978,0.101466,1.05609,4.27981,0.756663,29.7253
"46",0.200544,0.0330261,0.00439486,0.091647,0.818029,4.2795,0.851198,29.3282
"47",0.198892,0.0332764,0.00425414,0.0857504,0.763942,4.26786,0.779371,28.3199
"48",0.203114,0.0360021,0.00448817,0.0809504,0.98371,4.07955,0.789243,32.0875
"49",0.204008,0.0216593,0.00772258,0.121964,1.19229,4.77856,0.846668,26.6835
"50",0.205304,0.0215526,0.00800193,0.12453,1.80965,4.76507,0.884389,29.196
"51",0.191746,0.0291491,0.0046083,0.105249,0.358498,4.17775,0.733405,28.8183
"52",0.24331,0.0541226,0.00322301,0.0385315,0.769391,3.87484,0.787749,33.1881
"53",0.249176,0.0491167,0.00447072,0.0415246,0.260535,3.89358,0.708593,32.4001
"54",0.180326,0.0319094,0.00365885,0.10984,0.416458,3.94481,0.943112,28.8149
"55",0.200158,0.0313835,0.00511928,0.101176,0.70794,4.21478,0.847144,28.7856
"56",0.201727,0.0436845,0.0030603,0.0650734,5.54694,4.10273,0.837268,30.6355
"57",0.203266,0.0333485,0.00460289,0.0811386,0.319193,4.1746,0.798436,27.7481
"58",0.214147,0.0427388,0.00366675,0.0655457,2.92552,4.12984,0.824181,34.0883
"59",0.243235,0.0431197,0.00502463,0.0513124,0.558265,4.25598,0.90175,30.813
"60",0.240656,0.0441435,0.00475017,0.0474013,0.342,4.08752,0.761386,31.1454
"61",0.223117,0.038322,0.00499358,0.0583786,0.235951,4.09741,0.779215,29.7456
"62",0.248216,0.0435738,0.00537958,0.0532844,1.11885,4.26585,0.840201,35.0878
"63",0.254195,0.043583,0.0056899,0.050247,2.47817,4.50566,0.785423,30.0764
"64",0.174686,0.0345089,0.00258681,0.106745,0.0631058,3.51515,0.729654,32.2573
"65",0.183845,0.0363882,0.00296247,0.0857479,0.0521998,3.5308,0.754968,32.4282
"66",0.174202,0.0316243,0.0031335,0.123002,0.504691,3.89776,0.752561,27.8543
"67",0.176106,0.0312271,0.00363469,0.103469,0.400635,3.90858,0.766822,27.8962
"68",0.192188,0.035013,0.0040679,0.0869796,2.8497,4.24539,0.853274,27.9075
"69",0.230546,0.0436567,0.00457409,0.0515592,0.369088,3.98787,0.796384,31.8375
"70",0.234219,0.0449605,0.0046562,0.0469586,0.469703,3.98612,0.805458,32.1187
"71",0.237056,0.0448282,0.00440068,0.0500393,0.421389,4.06488,0.80788,33.132
"72",0.243503,0.0525242,0.00348813,0.0362361,1.9733,4.14815,0.867562,28.2098
"73",0.26407,0.0493393,0.00476778,0.0402704,5.54255,4.4284,0.750168,34.7592
"74",0.310814,0.0535261,0.00506868,0.0263737,0.610326,4.5311,0.754557,27.4403
"75",0.270736,0.0503262,0.00454431,0.0353312,0.474754,4.29684,0.850542,28.1841
"76",0.244793,0.0397215,0.00566896,0.0554609,0.507591,4.31119,0.806885,35.8145
"77",0.241178,0.0482627,0.00395731,0.0462986,3.40239,4.19195,0.825187,37.013
"78",0.300552,0.0563109,0.00463225,0.0254742,0.217694,4.0491,0.758017,33.6298
"79",0.257165,0.0499103,0.00445223,0.0369958,0.607834,4.11666,0.897356,31.986
