"","mean","sd","rhat"
"lp__",-106.35432275,2.46675668368223,1.00042205272527
"k_cDD",0.227088353875,0.0278124451504758,1.00010551687141
"degDD",0.04071915041875,0.00776215101063886,1.00015931081395
"hillDD",0.004657860351875,0.00112017246809371,1.00021106193187
"k_inter",0.06488664819375,0.0256800120543016,1.00015085931774
"maxdeath",1.0587016043375,0.954633732897063,1.00019676203422
"k_hillnec",4.189627975,0.242282720167638,1.00048697994439
"p",0.813650971375,0.0722894073075794,1.00033485220257
"h",30.845169625,3.10062285158911,1.00007306266152
"nu_DD",2.629481260625,0.649445873444903,1.00027144605202
"nu_NEC",6.250827716875,1.88668493613814,1.00059008857928
"sol7[1,1]",5.93242,0,NA
"sol7[2,1]",4.994,0,NA
"sol7[3,1]",4.18045,0,NA
"sol7[4,1]",3.7984,0,NA
"sol7[5,1]",3.4906,0,NA
"sol7[6,1]",2.90568,0,NA
"sol7[7,1]",2.40976,0,NA
"sol7[8,1]",2.32002,0,NA
"sol7[9,1]",1.98931,0,NA
"sol7[10,1]",1.63289,0,NA
"sol7[11,1]",1.33077,0,NA
"sol7[12,1]",1.0747,0,NA
"sol7[13,1]",0.857699,0,NA
"sol7[14,1]",0.755848,0,NA
"sol7[15,1]",0.673827,0,NA
"sol7[16,1]",0.518055,0,NA
"sol7[17,1]",0.386119,0,NA
"sol7[18,1]",0.274398,0,NA
"sol7[19,1]",0.179821,0,NA
"sol7[20,1]",0.109699,0,NA
"sol7[21,1]",0.0997852,0,NA
"sol7[22,1]",0.0320811,0,NA
"sol7[23,1]",-0.0251609,0,NA
"sol7[24,1]",-0.0735316,0,NA
"sol7[25,1]",-0.11438,0,NA
"sol7[26,1]",-0.148847,0,NA
"sol7[27,1]",-0.177903,0,NA
"sol7[28,1]",-0.202369,0,NA
"sol7[29,1]",-0.222943,0,NA
"sol7[30,1]",-0.240216,0,NA
"sol7[31,1]",-0.254692,0,NA
"sol7[32,1]",-0.266795,0,NA
"sol7[33,1]",-0.29539,0,NA
"sol7[34,1]",-0.300525,0,NA
"sol7[35,1]",-0.302017,0,NA
"sol7[36,1]",-0.304708,0,NA
"sol7[37,1]",-0.308086,0,NA
"sol7[38,1]",-0.310778,0,NA
"sol7[39,1]",-0.312891,0,NA
"sol7[40,1]",-0.314514,0,NA
"sol7[41,1]",-0.315722,0,NA
"sol7[42,1]",-0.316577,0,NA
"sol7[43,1]",-0.317134,0,NA
"sol7[44,1]",-0.317439,0,NA
"sol7[45,1]",-0.317531,0,NA
"sol7[46,1]",-0.317443,0,NA
"sol7[47,1]",-0.317203,0,NA
"sol7[48,1]",-0.316833,0,NA
"sol7[49,1]",-0.314909,0,NA
"sol7[1,2]",12.0385,0,NA
"sol7[2,2]",11.9985,0,NA
"sol7[3,2]",11.9583,0,NA
"sol7[4,2]",11.9369,0,NA
"sol7[5,2]",11.9182,0,NA
"sol7[6,2]",11.878,0,NA
"sol7[7,2]",11.8378,0,NA
"sol7[8,2]",11.8298,0,NA
"sol7[9,2]",11.7977,0,NA
"sol7[10,2]",11.7576,0,NA
"sol7[11,2]",11.7175,0,NA
"sol7[12,2]",11.6775,0,NA
"sol7[13,2]",11.6376,0,NA
"sol7[14,2]",11.6164,0,NA
"sol7[15,2]",11.5978,0,NA
"sol7[16,2]",11.5581,0,NA
"sol7[17,2]",11.5185,0,NA
"sol7[18,2]",11.479,0,NA
"sol7[19,2]",11.4396,0,NA
"sol7[20,2]",11.4055,0,NA
"sol7[21,2]",11.4003,0,NA
"sol7[22,2]",11.3611,0,NA
"sol7[23,2]",11.3221,0,NA
"sol7[24,2]",11.2831,0,NA
"sol7[25,2]",11.2443,0,NA
"sol7[26,2]",11.2056,0,NA
"sol7[27,2]",11.1671,0,NA
"sol7[28,2]",11.1286,0,NA
"sol7[29,2]",11.0903,0,NA
"sol7[30,2]",11.0522,0,NA
"sol7[31,2]",11.0141,0,NA
"sol7[32,2]",10.9762,0,NA
"sol7[33,2]",10.8432,0,NA
"sol7[34,2]",10.8059,0,NA
"sol7[35,2]",10.7934,0,NA
"sol7[36,2]",10.7686,0,NA
"sol7[37,2]",10.7316,0,NA
"sol7[38,2]",10.6946,0,NA
"sol7[39,2]",10.6577,0,NA
"sol7[40,2]",10.621,0,NA
"sol7[41,2]",10.5844,0,NA
"sol7[42,2]",10.548,0,NA
"sol7[43,2]",10.5117,0,NA
"sol7[44,2]",10.4754,0,NA
"sol7[45,2]",10.4394,0,NA
"sol7[46,2]",10.4034,0,NA
"sol7[47,2]",10.3676,0,NA
"sol7[48,2]",10.3318,0,NA
"sol7[49,2]",10.2137,0,NA
"sol7[1,3]",0.0337196,0,NA
"sol7[2,3]",0.0410637,0,NA
"sol7[3,3]",0.0350941,0,NA
"sol7[4,3]",0.0322886,0,NA
"sol7[5,3]",0.030028,0,NA
"sol7[6,3]",0.0257304,0,NA
"sol7[7,3]",0.0220851,0,NA
"sol7[8,3]",0.0214246,0,NA
"sol7[9,3]",0.0189922,0,NA
"sol7[10,3]",0.0163671,0,NA
"sol7[11,3]",0.0141392,0,NA
"sol7[12,3]",0.0122501,0,NA
"sol7[13,3]",0.0106473,0,NA
"sol7[14,3]",0.00989195,0,NA
"sol7[15,3]",0.00928565,0,NA
"sol7[16,3]",0.00812912,0,NA
"sol7[17,3]",0.00714883,0,NA
"sol7[18,3]",0.00631684,0,NA
"sol7[19,3]",0.00560976,0,NA
"sol7[20,3]",0.00508288,0,NA
"sol7[21,3]",0.00500876,0,NA
"sol7[22,3]",0.00449742,0,NA
"sol7[23,3]",0.00406424,0,NA
"sol7[24,3]",0.0036961,0,NA
"sol7[25,3]",0.00338232,0,NA
"sol7[26,3]",0.00311526,0,NA
"sol7[27,3]",0.00288747,0,NA
"sol7[28,3]",0.00269443,0,NA
"sol7[29,3]",0.0025297,0,NA
"sol7[30,3]",0.00238897,0,NA
"sol7[31,3]",0.00226821,0,NA
"sol7[32,3]",0.00216532,0,NA
"sol7[33,3]",0.0019066,0,NA
"sol7[34,3]",0.00185517,0,NA
"sol7[35,3]",0.00183987,0,NA
"sol7[36,3]",0.00181033,0,NA
"sol7[37,3]",0.00177071,0,NA
"sol7[38,3]",0.00173766,0,NA
"sol7[39,3]",0.00170903,0,NA
"sol7[40,3]",0.00168347,0,NA
"sol7[41,3]",0.00165982,0,NA
"sol7[42,3]",0.00164031,0,NA
"sol7[43,3]",0.00162265,0,NA
"sol7[44,3]",0.00160724,0,NA
"sol7[45,3]",0.00159279,0,NA
"sol7[46,3]",0.00157967,0,NA
"sol7[47,3]",0.00156795,0,NA
"sol7[48,3]",0.00155756,0,NA
"sol7[49,3]",0.00152706,0,NA
"sol7[1,4]",0.00026237387035625,0.000103156130462247,1.00015054895868
"sol7[2,4]",0.004187675146875,0.00154306274284676,1.00014932577968
"sol7[3,4]",0.007243260443125,0.00248561158875392,1.00014756609627
"sol7[4,4]",0.008526399905,0.0028132765524642,1.00014665597522
"sol7[5,4]",0.009479207385625,0.00301970850214787,1.00014562247219
"sol7[6,4]",0.01106180354,0.0032598531072093,1.00014242464013
"sol7[7,4]",0.012126510903125,0.00329274691652897,1.00013856652064
"sol7[8,4]",0.01228739764875,0.00328052476845872,1.00013793439165
"sol7[9,4]",0.012783484985,0.00318373660264162,1.00013419923564
"sol7[10,4]",0.013122097165625,0.00298177125799424,1.00012839379992
"sol7[11,4]",0.013214667784375,0.00272325086914535,1.00011538587207
"sol7[12,4]",0.013119538946875,0.00243500726262557,1.00012563825772
"sol7[13,4]",0.01288366568125,0.00213665866092523,1.00014122276168
"sol7[14,4]",0.012713650490625,0.00197850151645577,1.00015225042301
"sol7[15,4]",0.012544666128125,0.00184243611668405,1.00018151868454
"sol7[16,4]",0.012132505455,0.00156264968396824,1.00014585968644
"sol7[17,4]",0.01167091951,0.00130493693327938,1.00014099761916
"sol7[18,4]",0.011178629530625,0.00107538247460284,1.00019112477283
"sol7[19,4]",0.010670250525,0.000879529984916246,1.00026640001742
"sol7[20,4]",0.01022543794875,0.000741534797472645,1.00020745100495
"sol7[21,4]",0.01015706303625,0.000723192237816091,1.00014442530116
"sol7[22,4]",0.009647672383125,0.000612292740933924,1.00014555808484
"sol7[23,4]",0.009148504129375,0.000550196089575166,1.00023234158186
"sol7[24,4]",0.008664295860625,0.000532949175299883,1.00013109121061
"sol7[25,4]",0.0081984025275,0.000548367186479313,1.00022266170353
"sol7[26,4]",0.007753072425,0.000581873201289781,1.00016537173953
