"","Time","Score","SD"
"1",0,0.00401076700854701,0.000445090686287868
"2",0.1,38.4395927880342,2.83696188861284
"3",0.25,45.8795910068376,16.971822504922
"4",0.5,22.9582473572649,5.17484217417592
"5",0.75,14.0317195213675,1.96958237328074
"6",1,7.18068341367521,0.711849983848287
"7",2,4.50427771264957,0.31090350347735
"8",4,4.59880312021966,0.317261517928795
"9",24,3.90542536358974,1.21226126008363
"10",72,1.24434450222222,0.109283468296728
"11",120,0.908822606153847,0.178005036928933
"12",192,0.378760066324786,0.034306958702528
"13",240,0.164983894017094,0.0310913704850302
"14",288,0.0998429928205128,0.0361018829462094
"15",360,0.0903666275213677,0.0174821198030685
"16",480,0.053196950940171,0.0208072218152363
"17",672,0.0334376076923077,0.00474030108978626
