"sample_id","module","eg_score","module_size","module_coverage_abs","module_coverage_per"
"upload_R1CPTC0T24_24_0","rKIDNEY_336",0.770029616718268,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_337",-4.18544161550413,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_338",-3.44520437577933,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_340",0.522836015330447,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_341",-1.30033823608826,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_342",-1.5397076954549,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_347",-0.5797551002855,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_348",-0.489725441323512,7,7,100
"upload_R1CPTC0T24_24_0","rKIDNEY_352",-1.42987554388034,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_353",-1.19815579402057,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_354",-1.94105131728413,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_356",-1.23738395197091,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_357",-1.36892806089727,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_358",-2.6525912177053,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_361",-4.25337853678258,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_362",0.159913319395826,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_364",-7.22372528077231,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_367",-5.37731668868549,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_370",-0.745917299669261,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_373",-1.85634274483072,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_374",-0.459650489124945,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_375",-1.53281396513601,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_378",2.48526277651084,6,6,100
"upload_R1CPTC0T24_24_0","rKIDNEY_381",-1.08893785627418,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_383",-2.33616224016314,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_384",0.596977170599135,5,5,100
