sample_id	experiment	time	time_unit	conc_unit	conc_level	module	module_size	eg_score	moduleCoverage	moduleCoveragePercetage
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_105	16	0.160167290819914	12	75
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_106	16	1.65086175574318	14	87.5
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_108	16	0.163849462278804	16	100
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_109	16	-1.9197496628152	15	93.8
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_110	16	-6.58926576094887	15	93.8
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_112	16	-0.094787405337295	14	87.5
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_113	16	-0.125407905069774	12	75
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_114m	25	-0.396142387035597	23	92
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_115	16	-2.61536078733895	13	81.2
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_116	16	-0.912368610871628	16	100
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_118	16	-3.06970366923581	14	87.5
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_119	16	1.26026309116533	16	100
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_120	16	-0.785956868766396	14	87.5
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_121	16	-4.03644021690947	14	87.5
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_123	16	-2.15731082866164	15	93.8
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_124	15	-0.249247235622783	14	93.3
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_125	15	0.952179046651184	11	73.3
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_126	15	-2.14521511019179	12	80
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_127	15	2.54049734137443	15	100
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_128	15	-4.37152058039181	11	73.3
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_130m	27	1.09627904506213	24	88.9
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_132	15	-4.03828322750698	12	80
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_133	15	-0.713605364011481	5	33.3
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_134	15	0.261455580784873	13	86.7
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_135	15	-3.78921957029472	11	73.3
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_136	15	-0.679972820869271	12	80
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_137m	22	-0.702662127713468	22	100
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_138	14	-0.810008555780387	10	71.4
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_139	14	-0.882448908857688	13	92.9
uploadFile1_SINGLE_1_24_2.5	uploadFile1_1	24	day	concUnit	2	rKIDNEY_140	14	0.495697030523059	13	92.9
