sample_id	experiment	time	time_unit	conc_unit	conc_level	module	module_size	eg_score	moduleCoverage	moduleCoveragePercetage
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_54	25	-4.00270592598783	22	88
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_55	25	0.112350952402462	22	88
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_56	24	2.48188467240398	23	95.8
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_57m	35	3.51822467379409	27	77.1
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_58m	32	-2.64149575445654	28	87.5
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_59m	36	3.20533221755688	33	91.7
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_62	24	-2.994268989269	20	83.3
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_63m	31	5.5941655764566	28	90.3
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_64m	44	1.92622197621149	39	88.6
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_65	23	2.85034432636697	20	87
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_67	23	0.116401358195254	22	95.7
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_68m	39	4.80225648916961	34	87.2
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_69	23	0.944237251424338	20	87
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_70	22	2.18056503444885	20	90.9
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_71	22	4.47172698623144	17	77.3
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_72m	39	-1.57304112143344	38	97.4
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_73	22	-1.70300395444627	19	86.4
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_74	21	-0.346853594657568	10	47.6
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_76	21	0.5029817250613	16	76.2
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_77	21	0.865414542854343	20	95.2
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_78	20	-0.876928249526597	13	65
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_80	20	-0.102731262141687	16	80
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_81	19	-2.18841098593949	14	73.7
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_83	19	-0.82747317405135	19	100
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_85	19	1.05516861870853	18	94.7
